Produção - feijão
Sigla;Código;Município;2017;2018;2019;2020;2021;2022;2023;
AL;2707909;Santa Luzia do Norte;0;0;0;0;0;;;
AL;2708006;Santana do Ipanema;250;2;157;60;550;160;100;
AL;2708105;Santana do Mundaú;40;6;5;5;0;15;15;
AL;2708204;São Brás;85;47;37;44;74;49;98;
AL;2708303;São José da Laje;0;0;16;16;17;20;20;
AL;2708402;São José da Tapera;300;0;63;75;388;500;770;
AL;2708501;São Luís do Quitunde;200;60;0;0;0;;;
AL;2708600;São Miguel dos Campos;57;0;0;3;3;5;5;
AL;2708709;São Miguel dos Milagres;18;45;29;3;6;1;5;
AL;2708808;São Sebastião;350;141;198;228;250;400;250;
AL;2708907;Satuba;0;0;0;0;0;;;
AL;2708956;Senador Rui Palmeira;119;1;14;36;180;100;200;
AL;2709004;Tanque d'Arca;53;29;35;60;50;23;80;
AL;2709103;Taquarana;1550;1409;683;1133;1350;320;1825;
AL;2709152;Teotônio Vilela;250;572;432;500;441;600;600;
AL;2709202;Traipu;400;55;135;130;330;75;370;
AL;2709301;União dos Palmares;150;20;24;26;20;50;50;
AL;2709400;Viçosa;12;6;23;36;28;40;40;
AM;1300029;Alvarães;2;2;1;1;1;1;1;
AM;1300060;Amaturá;0;28;33;28;5;4;4;
AM;1300086;Anamã;0;0;0;0;0;;;
AM;1300102;Anori;22;20;25;28;25;18;20;
AM;1300144;Apuí;4;4;5;6;6;10;10;
AM;1300201;Atalaia do Norte;15;15;9;15;15;10;2;
AM;1300300;Autazes;0;0;0;0;0;;5;
AM;1300409;Barcelos;24;0;0;0;0;;;
AM;1300508;Barreirinha;5;0;0;1;1;1;2;
AM;1300607;Benjamin Constant;43;12;16;6;2;2;10;
AM;1300631;Beruri;0;0;0;0;0;;;
AM;1300680;Boa Vista do Ramos;0;3;8;6;3;4;3;
AM;1300706;Boca do Acre;0;0;0;0;0;82;182;
AM;1300805;Borba;0;0;0;0;0;;;
AM;1300839;Caapiranga;0;0;0;0;0;;;
AM;1300904;Canutama;8;9;9;45;16;20;18;
AM;1301001;Carauari;3;3;3;3;6;8;8;
AM;1301100;Careiro;0;0;0;0;0;;;
AM;1301159;Careiro da Várzea;0;0;127;124;108;100;10;
AM;1301209;Coari;15;18;15;16;15;8;10;
AM;1301308;Codajás;0;0;0;0;0;;;
AM;1301407;Eirunepé;86;476;153;180;46;36;36;
AM;1301506;Envira;52;60;70;48;58;70;72;
AM;1301605;Fonte Boa;0;0;0;0;0;;;
AM;1301654;Guajará;28;13;14;12;10;14;15;
AM;1301704;Humaitá;45;45;43;43;41;50;;
AM;1301803;Ipixuna;6;14;19;19;16;20;35;
AM;1301852;Iranduba;0;0;6;0;0;;;
AM;1301902;Itacoatiara;226;280;244;226;152;200;;
AM;1301951;Itamarati;0;0;4;4;4;5;5;
AM;1302009;Itapiranga;30;0;0;0;0;;;
AM;1302108;Japurá;0;0;0;0;0;;;
AM;1302207;Juruá;0;0;0;0;0;;;
AM;1302306;Jutaí;13;12;10;9;8;27;25;
AM;1302405;Lábrea;512;17;300;370;358;;100;
AM;1302504;Manacapuru;438;0;0;0;0;;;
AM;1302553;Manaquiri;0;0;0;0;0;;;
AM;1302603;Manaus;0;0;0;0;0;;;
AM;1302702;Manicoré;0;0;0;0;0;;;
AM;1302801;Maraã;0;0;0;0;0;;;
AM;1302900;Maués;0;0;0;0;0;;;
AM;1303007;Nhamundá;2;2;3;1;1;1;1;
AM;1303106;Nova Olinda do Norte;21;16;20;22;26;20;20;
AM;1303205;Novo Airão;0;0;0;0;0;;;
AM;1303304;Novo Aripuanã;7;5;5;5;5;6;9;
AM;1303403;Parintins;0;1;1;6;2;;;
AM;1303502;Pauini;40;100;98;100;96;101;110;
AM;1303536;Presidente Figueiredo;64;0;3;1;1;;;
AM;1303569;Rio Preto da Eva;0;0;0;0;0;;;
AM;1303601;Santa Isabel do Rio Negro;0;0;0;0;0;;;
AM;1303700;Santo Antônio do Içá;0;8;8;18;0;;;
AM;1303809;São Gabriel da Cachoeira;2;0;0;0;0;;;
AM;1303908;São Paulo de Olivença;0;0;7;10;2;10;2;
AM;1303957;São Sebastião do Uatumã;76;24;51;34;28;25;20;
AM;1304005;Silves;0;0;0;0;0;;;
AM;1304062;Tabatinga;1;0;2;2;4;2;6;
AM;1304104;Tapauá;345;25;23;24;23;24;24;
AM;1304203;Tefé;80;77;74;71;69;80;62;
AM;1304237;Tonantins;6;6;7;8;0;;;
AM;1304260;Uarini;0;0;0;0;0;;;
AM;1304302;Urucará;0;0;0;0;0;5;2;
AM;1304401;Urucurituba;0;29;16;16;16;18;13;
AP;1600055;Serra do Navio;76;45;48;50;52;65;56;
AP;1600105;Amapá;25;16;18;18;20;30;24;
AP;1600154;Pedra Branca do Amaparí;108;64;65;67;74;70;58;
AP;1600204;Calçoene;66;48;50;52;58;75;68;
AP;1600212;Cutias;46;30;32;30;34;48;42;
AP;1600238;Ferreira Gomes;54;38;40;42;365;80;72;
AP;1600253;Itaubal;48;30;32;34;655;75;68;
AP;1600279;Laranjal do Jari;88;58;60;60;62;76;70;
AP;1600303;Macapá;122;75;78;79;1661;120;114;
AP;1600402;Mazagão;104;76;76;78;80;84;76;
AP;1600501;Oiapoque;26;9;10;10;11;15;12;
AP;1600535;Porto Grande;137;92;93;95;344;160;142;
AP;1600550;Pracuúba;34;22;24;25;28;30;22;
AP;1600600;Santana;46;24;26;24;26;42;37;
AP;1600709;Tartarugalzinho;189;95;90;88;286;140;122;
AP;1600808;Vitória do Jari;105;60;63;60;64;90;84;
BA;2900108;Abaíra;45;40;75;100;101;140;129;
BA;2900207;Abaré;247;200;80;90;96;600;1040;
BA;2900306;Acajutiba;70;43;36;80;82;114;103;
BA;2900355;Adustina;4158;1600;6000;6000;3300;4500;4200;
BA;2900405;Água Fria;40;180;144;180;155;1800;1835;
BA;2900504;Érico Cardoso;273;200;28;280;271;550;502;
BA;2900603;Aiquara;59;26;65;23;11;85;77;
BA;2900702;Alagoinhas;31;21;28;70;72;70;68;
BA;2900801;Alcobaça;67;67;67;77;54;125;96;
BA;2900900;Almadina;39;21;26;15;17;20;21;
BA;2901007;Amargosa;20;24;17;25;29;40;40;
BA;2901106;Amélia Rodrigues;13;15;15;20;18;20;17;
BA;2901155;América Dourada;101;260;10;384;412;600;673;
BA;2901205;Anagé;21;80;81;180;213;700;758;
BA;2901304;Andaraí;0;29;6;6;0;674;715;
BA;2901353;Andorinha;3;22;20;28;12;1000;1377;
BA;2901403;Angical;128;150;225;175;164;330;339;
BA;2901502;Anguera;72;108;0;108;98;600;606;
BA;2901601;Antas;1512;100;504;520;200;800;640;
BA;2901700;Antônio Cardoso;8;72;125;72;64;800;839;
BA;2901809;Antônio Gonçalves;20;15;15;15;42;390;447;
BA;2901908;Aporá;160;148;189;200;198;400;376;
BA;2901957;Apuarema;5;5;5;10;10;20;20;
BA;2902005;Aracatu;490;270;270;420;160;1500;1500;
BA;2902054;Araças;20;26;35;25;23;30;32;
BA;2902104;Araci;226;178;252;846;457;2540;134;
BA;2902203;Aramari;19;124;135;70;66;110;105;
BA;2902252;Arataca;0;0;0;0;0;;;
BA;2902302;Aratuípe;2;4;3;2;2;2;2;
BA;2902401;Aurelino Leal;0;0;0;0;0;;;
BA;2902500;Baianópolis;1840;2218;3100;1980;2058;2000;2060;
BA;2902609;Baixa Grande;160;172;0;500;480;2500;2600;
BA;2902658;Banzaê;630;240;504;252;252;1200;1200;
BA;2902708;Barra;200;76;7;16;71;40;474;
BA;2902807;Barra da Estiva;300;590;330;420;887;1000;600;
BA;2902906;Barra do Choça;4748;2948;2772;3600;3771;1400;1851;
BA;2903003;Barra do Mendes;36;45;45;81;91;135;139;
BA;2903102;Barra do Rocha;0;0;0;0;0;;;
BA;2903201;Barreiras;14670;15600;15200;14690;15887;10000;10284;
BA;2903235;Barro Alto;101;187;180;88;81;145;149;
BA;2903276;Barrocas;25;127;362;485;254;1015;141;
BA;2903300;Governador Lomanto Júnior;0;0;0;0;0;;;
BA;2903409;Belmonte;10;13;20;10;11;20;20;
BA;2903508;Belo Campo;36;40;75;80;84;300;312;
BA;2903607;Biritinga;267;117;99;452;125;1622;106;
BA;2903706;Boa Nova;294;124;16;75;134;300;139;
BA;2903805;Boa Vista do Tupim;68;55;40;72;72;300;265;
BA;2903904;Bom Jesus da Lapa;220;280;280;450;361;1500;1959;
BA;2903953;Bom Jesus da Serra;30;0;33;120;131;400;202;
BA;2904001;Boninal;0;30;18;1;30;500;500;
BA;2904050;Bonito;578;300;39;300;333;400;420;
BA;2904100;Boquira;133;85;26;88;144;220;1236;
BA;2904209;Botuporã;600;430;375;420;359;1400;1277;
BA;2904308;Brejões;54;42;35;30;32;56;82;
BA;2904407;Brejolândia;10;8;2;2;20;14;10;
BA;2904506;Brotas de Macaúbas;51;67;5;48;125;550;438;
BA;2904605;Brumado;145;24;24;200;40;1000;1800;
BA;2904704;Buerarema;0;0;0;0;0;;;
BA;2904753;Buritirama;476;139;50;500;446;900;838;
BA;2904803;Caatiba;5;3;2;8;7;10;10;
BA;2904852;Cabaceiras do Paraguaçu;450;520;594;500;434;700;700;
BA;2904902;Cachoeira;40;50;54;44;41;80;77;
BA;2905008;Caculé;280;104;54;60;135;680;750;
BA;2905107;Caém;13;15;24;15;33;150;37;
BA;2905156;Caetanos;90;4;4;20;112;100;100;
BA;2905206;Caetité;380;200;180;300;267;1000;1000;
BA;2905305;Cafarnaum;60;61;17;186;177;;310;
BA;2905404;Cairu;0;0;0;0;0;;;
BA;2905503;Caldeirão Grande;29;40;54;40;86;400;400;
BA;2905602;Camacan;0;0;0;0;0;;;
BA;2905701;Camaçari;77;10;10;15;13;15;19;
BA;2905800;Camamu;5;6;7;10;9;20;18;
BA;2905909;Campo Alegre de Lourdes;500;350;350;1000;855;4000;3612;
BA;2906006;Campo Formoso;29;122;122;480;330;3510;2757;
BA;2906105;Canápolis;70;140;108;180;64;335;403;
BA;2906204;Canarana;120;105;60;300;294;;500;
BA;2906303;Canavieiras;0;0;0;0;0;;;
BA;2906402;Candeal;21;2;12;75;21;410;423;
BA;2906501;Candeias;0;0;0;0;0;;;
BA;2906600;Candiba;180;145;162;340;300;1200;1200;
BA;2906709;Cândido Sales;72;60;12;80;96;400;399;
BA;2906808;Cansanção;495;495;1400;972;1064;8000;8078;
BA;2906824;Canudos;208;158;340;100;27;1500;915;
BA;2906857;Capela do Alto Alegre;20;2;1;56;21;599;472;
BA;2906873;Capim Grosso;28;52;36;52;42;160;160;
BA;2906899;Caraíbas;64;91;9;150;137;700;672;
BA;2906907;Caravelas;102;51;60;55;51;80;78;
BA;2907004;Cardeal da Silva;4;22;25;14;13;20;22;
BA;2907103;Carinhanha;210;75;70;210;201;700;900;
BA;2907202;Casa Nova;408;250;0;540;545;954;1230;
BA;2907301;Castro Alves;26;40;42;40;38;55;51;
BA;2907400;Catolândia;104;71;100;90;82;200;182;
BA;2907509;Catu;26;12;15;15;14;15;17;
BA;2907558;Caturama;350;100;80;216;205;900;821;
BA;2907608;Central;10;15;10;220;262;1000;970;
BA;2907707;Chorrochó;35;94;20;99;101;235;182;
BA;2907806;Cícero Dantas;2160;700;1008;756;930;2800;2080;
BA;2907905;Cipó;13;13;12;13;13;130;126;
BA;2908002;Coaraci;70;20;23;18;20;20;20;
BA;2908101;Cocos;1650;1714;1140;1658;1659;1630;1634;
BA;2908200;Conceição da Feira;45;80;67;60;51;60;55;
BA;2908309;Conceição do Almeida;7;77;71;77;73;95;91;
BA;2908408;Conceição do Coité;20;342;248;1200;301;1680;560;
BA;2908507;Conceição do Jacuípe;1;10;18;10;9;140;143;
BA;2908606;Conde;7;7;10;10;10;23;21;
BA;2908705;Condeúba;99;90;23;145;137;700;572;
BA;2908804;Contendas do Sincorá;87;29;47;15;19;100;102;
BA;2908903;Coração de Maria;18;100;72;100;89;700;706;
BA;2909000;Cordeiros;31;25;11;90;81;400;353;
BA;2909109;Coribe;296;140;140;150;55;280;370;
BA;2909208;Coronel João Sá;144;4;192;720;240;1050;840;
BA;2909307;Correntina;5171;4442;5320;5800;3192;3267;3323;
BA;2909406;Cotegipe;297;160;180;200;197;500;520;
BA;2909505;Cravolândia;5;5;3;8;9;18;15;
BA;2909604;Crisópolis;446;639;750;800;814;1400;1344;
BA;2909703;Cristópolis;654;1230;1200;600;517;1450;856;
BA;2909802;Cruz das Almas;30;124;130;124;111;170;174;
BA;2909901;Curaçá;250;200;0;240;210;858;850;
BA;2910008;Dário Meira;9;10;13;20;20;35;39;
BA;2910057;Dias d'Ávila;5;1;1;2;2;;3;
BA;2910107;Dom Basílio;350;200;210;200;169;320;327;
BA;2910206;Dom Macedo Costa;18;22;23;23;22;30;30;
BA;2910305;Elísio Medrado;20;40;36;45;43;60;70;
BA;2910404;Encruzilhada;146;130;13;240;262;1450;1019;
BA;2910503;Entre Rios;77;74;78;80;65;50;48;
BA;2910602;Esplanada;120;136;144;180;155;380;369;
BA;2910701;Euclides da Cunha;3164;800;20250;29650;16900;4000;27500;
BA;2910727;Eunápolis;42;50;90;40;40;70;75;
BA;2910750;Fátima;3300;1080;2928;2560;300;1300;1300;
BA;2910776;Feira da Mata;58;40;40;70;30;135;300;
BA;2910800;Feira de Santana;80;415;135;415;407;4800;5294;
BA;2910859;Filadélfia;8;84;84;84;152;2000;1677;
BA;2910909;Firmino Alves;0;0;0;0;0;;;
BA;2911006;Floresta Azul;0;0;0;0;0;;;
BA;2911105;Formosa do Rio Preto;6543;16490;17480;17500;17454;11530;12038;
BA;2911204;Gandu;0;0;0;0;0;;;
BA;2911253;Gavião;9;1;1;31;14;235;257;
BA;2911303;Gentio do Ouro;75;75;50;100;88;300;303;
BA;2911402;Glória;130;180;60;10;7;761;1990;
BA;2911501;Gongogi;0;0;0;0;0;;;
BA;2911600;Governador Mangabeira;250;240;270;280;274;250;271;
BA;2911659;Guajeru;100;16;16;200;19;310;400;
BA;2911709;Guanambi;313;340;320;700;595;2000;2400;
BA;2911808;Guaratinga;170;100;130;180;202;200;202;
BA;2911857;Heliópolis;526;132;660;1100;60;500;100;
BA;2911907;Iaçu;48;50;44;58;67;230;163;
BA;2912004;Ibiassucê;150;100;50;40;96;400;1100;
BA;2912103;Ibicaraí;0;0;0;0;0;;;
BA;2912202;Ibicoara;150;300;228;2592;420;1000;900;
BA;2912301;Ibicuí;12;90;38;100;96;100;95;
BA;2912400;Ibipeba;64;60;8;90;109;145;153;
BA;2912509;Ibipitanga;81;35;2;19;57;140;216;
BA;2912608;Ibiquera;13;12;8;15;14;35;35;
BA;2912707;Ibirapitanga;0;0;0;0;0;;;
BA;2912806;Ibirapuã;15;6;10;3;3;5;5;
BA;2912905;Ibirataia;0;0;0;0;0;;;
BA;2913002;Ibitiara;75;34;36;36;36;300;300;
BA;2913101;Ibititá;72;36;28;120;134;190;180;
BA;2913200;Ibotirama;82;185;60;12;126;608;354;
BA;2913309;Ichu;11;1;15;54;11;280;450;
BA;2913408;Igaporã;100;78;100;120;110;400;460;
BA;2913457;Igrapiúna;2;6;6;5;16;10;10;
BA;2913507;Iguaí;17;88;116;80;100;140;188;
BA;2913606;Ilhéus;28;30;33;49;50;65;62;
BA;2913705;Inhambupe;1230;1230;810;615;621;850;875;
BA;2913804;Ipecaetá;15;250;144;250;244;2600;2867;
BA;2913903;Ipiaú;0;0;0;0;0;;;
BA;2914000;Ipirá;173;208;0;208;194;1600;1679;
BA;2914109;Ipupiara;90;82;60;20;139;610;598;
BA;2914208;Irajuba;10;10;8;12;13;10;31;
BA;2914307;Iramaia;27;34;75;31;99;320;297;
BA;2914406;Iraquara;164;98;112;97;95;135;135;
BA;2914505;Irará;52;360;180;360;320;2230;2164;
BA;2914604;Irecê;40;54;50;50;53;85;81;
BA;2914653;Itabela;160;14;18;5;6;10;10;
BA;2914703;Itaberaba;85;70;50;100;98;300;294;
BA;2914802;Itabuna;0;0;0;0;0;;;
BA;2914901;Itacaré;0;0;0;0;0;;;
BA;2915007;Itaeté;20;18;12;60;69;200;200;
BA;2915106;Itagi;81;86;98;11;96;15;163;
BA;2915205;Itagibá;0;0;0;0;0;;;
BA;2915304;Itagimirim;11;6;8;3;3;5;5;
BA;2915353;Itaguaçu da Bahia;111;100;75;150;140;280;293;
BA;2915403;Itaju do Colônia;0;0;0;0;0;;;
BA;2915502;Itajuípe;0;0;0;0;0;;;
BA;2915601;Itamaraju;54;39;50;60;39;70;62;
BA;2915700;Itamari;28;28;24;10;10;20;22;
BA;2915809;Itambé;35;30;40;100;106;350;329;
BA;2915908;Itanagra;3;2;2;3;3;;3;
BA;2916005;Itanhém;46;30;50;24;26;35;31;
BA;2916104;Itaparica;0;0;0;0;0;;;
BA;2916203;Itapé;0;0;0;0;0;;;
BA;2916302;Itapebi;9;6;8;6;7;12;14;
BA;2916401;Itapetinga;1;1;1;4;3;5;5;
BA;2916500;Itapicuru;577;210;360;250;293;1000;970;
BA;2916609;Itapitanga;31;5;8;6;6;6;6;
BA;2916708;Itaquara;33;24;20;47;53;35;47;
BA;2916807;Itarantim;5;4;4;5;5;5;5;
BA;2916856;Itatim;26;15;4;3;13;30;113;
BA;2916906;Itiruçu;8;7;12;20;24;6;6;
BA;2917003;Itiúba;13;155;63;149;84;2700;3502;
BA;2917102;Itororó;0;3;3;2;2;4;4;
BA;2917201;Ituaçu;330;220;216;300;98;600;580;
BA;2917300;Ituberá;6;7;7;5;5;10;10;
BA;2917334;Iuiú;111;100;72;120;81;500;400;
BA;2917359;Jaborandi;3888;3346;3011;3600;3345;2800;2508;
BA;2917409;Jacaraci;224;240;196;160;146;800;1000;
BA;2917508;Jacobina;113;150;240;150;150;2000;1020;
BA;2917607;Jaguaquara;98;60;42;60;64;100;96;
BA;2917706;Jaguarari;16;94;94;300;282;2000;2080;
BA;2917805;Jaguaripe;9;10;9;12;12;10;10;
BA;2917904;Jandaíra;20;23;26;24;21;40;40;
BA;2918001;Jequié;105;91;93;58;8;33;21;
BA;2918100;Jeremoabo;360;51;607;1200;900;4000;4000;
BA;2918209;Jiquiriçá;4;8;10;12;13;21;20;
BA;2918308;Jitaúna;108;73;50;3;7;190;39;
BA;2918357;João Dourado;27;27;18;60;71;77;78;
BA;2918407;Juazeiro;350;150;0;250;273;994;964;
BA;2918456;Jucuruçu;68;157;200;180;157;200;227;
BA;2918506;Jussara;9;18;12;50;55;103;102;
BA;2918555;Jussari;0;0;0;0;0;;;
BA;2918605;Jussiape;60;55;55;66;70;90;88;
BA;2918704;Lafaiete Coutinho;17;17;100;45;21;158;185;
BA;2918753;Lagoa Real;160;30;27;125;12;300;220;
BA;2918803;Laje;37;44;56;60;62;100;92;
BA;2918902;Lajedão;14;5;5;3;3;3;3;
BA;2919009;Lajedinho;5;2;4;4;4;10;10;
BA;2919058;Lajedo do Tabocal;4;4;5;5;5;10;11;
BA;2919108;Lamarão;73;90;452;1082;200;700;358;
BA;2919157;Lapão;62;29;105;290;328;450;446;
BA;2919207;Lauro de Freitas;0;0;0;0;0;;;
BA;2919306;Lençóis;34;27;35;44;32;330;330;
BA;2919405;Licínio de Almeida;150;95;60;140;119;550;480;
BA;2919504;Livramento de Nossa Senhora;755;345;225;640;701;1570;1689;
BA;2919553;Luís Eduardo Magalhães;6430;12100;12620;9000;8093;6800;7003;
BA;2919603;Macajuba;115;100;70;150;141;500;490;
BA;2919702;Macarani;11;7;7;8;8;10;10;
BA;2919801;Macaúbas;1096;700;580;1250;1263;4500;4361;
BA;2919900;Macururé;3;4;2;1;1;;3;
BA;2919926;Madre de Deus;0;0;0;0;0;;;
BA;2919959;Maetinga;30;20;8;52;57;280;309;
BA;2920007;Maiquinique;17;18;18;15;14;15;15;
BA;2920106;Mairi;180;210;0;200;173;2000;2050;
BA;2920205;Malhada;750;900;900;1200;1102;2250;2475;
BA;2920304;Malhada de Pedras;200;120;120;300;120;1200;1200;
BA;2920403;Manoel Vitorino;14;39;14;21;62;221;107;
BA;2920452;Mansidão;133;75;70;200;188;600;617;
BA;2920502;Maracás;42;16;22;9;43;80;80;
BA;2920601;Maragogipe;18;24;22;20;18;20;20;
BA;2920700;Maraú;0;0;0;0;0;;;
BA;2920809;Marcionílio Souza;5;4;8;8;9;30;30;
BA;2920908;Mascote;0;0;0;0;0;;;
BA;2921005;Mata de São João;80;70;70;60;55;60;90;
BA;2921054;Matina;100;120;120;240;221;980;931;
BA;2921104;Medeiros Neto;29;8;10;6;7;6;6;
BA;2921203;Miguel Calmon;262;210;234;210;170;1400;490;
BA;2921302;Milagres;1;1;1;1;2;4;8;
BA;2921401;Mirangaba;100;98;126;98;105;800;350;
BA;2921450;Mirante;63;44;42;15;22;118;61;
BA;2921500;Monte Santo;942;325;7550;2738;3357;9000;8640;
BA;2921609;Morpará;42;87;85;28;173;71;80;
BA;2921708;Morro do Chapéu;77;120;13;80;120;170;201;
BA;2921807;Mortugaba;231;210;140;230;246;700;900;
BA;2921906;Mucugê;601;99;216;3660;4516;1080;1080;
BA;2922003;Mucuri;156;110;110;75;86;55;58;
BA;2922052;Mulungu do Morro;0;22;8;60;139;100;210;
BA;2922102;Mundo Novo;576;2400;1200;900;797;1500;1498;
BA;2922201;Muniz Ferreira;0;0;0;0;0;;;
BA;2922250;Muquém de São Francisco;754;50;50;33;119;82;525;
BA;2922300;Muritiba;140;150;144;180;155;200;200;
BA;2922409;Mutuípe;9;15;19;20;22;30;33;
BA;2922508;Nazaré;0;0;0;0;0;;;
