CNES - Recursos Físicos - Ambulatório - Consultórios - Brasil
Clin.Especializada por Município e Ano/mês compet.
Período:2024
"Município";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez"
"130260 MANAUS";1076;1058;1065;1017;1021;1016;1028;1010;1042;1043;1051;1046
"130270 MANICORE";14;14;15;15;15;15;15;15;15;15;15;15
"130290 MAUES";6;6;6;6;6;6;6;6;6;6;6;6
"130310 NOVA OLINDA DO NORTE";1;1;1;1;1;1;1;1;1;1;1;1
"130330 NOVO ARIPUANA";6;6;6;6;6;6;6;6;6;6;6;6
"130340 PARINTINS";52;55;55;55;55;55;55;55;55;55;55;55
"130353 PRESIDENTE FIGUEIREDO";13;13;13;13;13;13;13;13;13;13;13;13
"130356 RIO PRETO DA EVA";5;5;4;4;4;4;4;4;4;4;4;4
"130360 SANTA ISABEL DO RIO NEGRO";1;1;1;1;1;1;1;1;1;-;-;-
"130380 SAO GABRIEL DA CACHOEIRA";4;4;4;4;4;4;4;4;4;4;4;4
"130390 SAO PAULO DE OLIVENCA";1;1;1;1;1;1;1;1;1;1;1;1
"130406 TABATINGA";11;11;11;11;11;11;11;11;11;12;12;12
"130410 TAPAUA";1;1;1;1;1;1;1;1;-;-;1;1
"130420 TEFE";15;15;15;15;15;15;15;15;15;15;15;15
"130426 UARINI";1;1;1;1;1;1;1;1;1;1;1;1
"130430 URUCARA";1;1;1;1;1;1;1;1;1;1;1;1
"130440 URUCURITUBA";2;2;2;2;2;2;2;2;2;2;2;2
"140005 ALTO ALEGRE";5;5;5;5;5;5;6;6;6;6;6;6
"140010 BOA VISTA";315;323;324;329;335;335;336;338;342;342;343;346
"140015 BONFIM";1;1;1;1;1;1;1;1;1;1;1;1
"140017 CANTA";2;2;2;2;2;2;2;2;2;2;2;2
"140020 CARACARAI";3;2;2;2;2;2;2;2;2;2;2;2
"140030 MUCAJAI";2;2;2;2;2;2;2;4;4;4;4;4
"140040 NORMANDIA";1;1;1;1;1;1;1;1;1;1;1;1
"140045 PACARAIMA";2;2;2;2;2;2;2;2;2;2;2;2
"140047 RORAINOPOLIS";18;17;17;17;17;17;17;17;17;17;17;17
"140060 SAO LUIZ";2;2;2;2;2;2;2;2;2;2;2;1
"150010 ABAETETUBA";35;35;35;31;31;30;30;31;31;31;31;29
"150020 ACARA";1;1;1;1;1;1;1;1;1;1;1;1
"150034 AGUA AZUL DO NORTE";2;2;2;2;2;2;2;1;1;1;1;1
"150040 ALENQUER";9;9;9;9;9;9;9;9;9;9;9;9
"150050 ALMEIRIM";14;14;14;14;14;14;14;14;14;14;14;14
"150060 ALTAMIRA";47;27;27;37;47;47;49;59;59;60;60;62
"150080 ANANINDEUA";169;169;169;169;169;172;175;175;175;175;175;176
"150090 AUGUSTO CORREA";4;4;4;4;4;4;4;4;4;4;4;4
"150095 AURORA DO PARA";4;4;4;4;4;4;4;4;4;4;4;4
"150120 BAIAO";6;6;6;6;6;6;6;6;6;6;6;6
"150125 BANNACH";4;4;4;4;4;4;4;4;4;4;4;4
"150130 BARCARENA";17;17;17;17;17;17;20;20;20;20;20;20
"150140 BELEM";1385;1395;1421;1431;1437;1451;1411;1465;1493;1508;1534;1552
"150145 BELTERRA";-;-;-;-;-;-;-;-;-;-;4;4
"150150 BENEVIDES";11;11;11;11;11;11;11;11;11;11;11;11
"150157 BOM JESUS DO TOCANTINS";-;-;-;-;-;-;1;1;1;1;1;1
"150160 BONITO";1;1;1;1;1;1;1;1;1;1;1;1
"150170 BRAGANCA";88;88;88;88;88;88;88;93;93;93;100;100
"150172 BRASIL NOVO";5;5;5;5;5;5;5;5;5;7;7;7
"150178 BREU BRANCO";7;7;7;7;7;7;7;7;7;6;6;6
"150180 BREVES";24;24;24;24;24;24;24;29;29;29;29;29
"150190 BUJARU";3;3;3;3;3;3;3;3;3;3;3;3
"150195 CACHOEIRA DO PIRIA";2;2;2;2;2;2;2;2;2;2;2;2
"150200 CACHOEIRA DO ARARI";6;6;6;6;6;6;6;7;8;8;8;8
"150210 CAMETA";24;24;24;25;29;33;33;33;32;33;33;33
"150215 CANAA DOS CARAJAS";89;91;91;91;96;96;100;101;103;103;105;106
"150220 CAPANEMA";19;19;19;19;19;19;19;19;19;19;19;19
"150230 CAPITAO POCO";14;14;14;14;14;14;14;14;14;14;14;14
"150240 CASTANHAL";124;124;124;128;128;128;128;128;130;130;130;149
"150260 COLARES";2;2;2;2;2;2;2;2;2;2;2;2
"150270 CONCEICAO DO ARAGUAIA";25;27;27;22;22;22;22;22;23;21;21;21
"150275 CONCORDIA DO PARA";3;3;3;4;4;4;4;4;4;4;4;4
"150277 CURIONOPOLIS";8;8;10;10;10;11;16;16;16;16;16;16
"150285 CURUA";1;1;1;1;1;1;1;1;1;1;1;1
"150290 CURUCA";18;18;18;18;18;18;18;18;18;18;18;18
"150293 DOM ELISEU";11;11;11;11;11;13;13;13;13;13;13;13
"150295 ELDORADO DOS CARAJAS";3;3;3;3;3;3;3;3;3;3;5;5
"150304 FLORESTA DO ARAGUAIA";1;1;1;1;1;1;1;1;1;1;1;1
"150307 GARRAFAO DO NORTE";7;7;7;7;7;7;7;7;7;7;7;7
"150309 GOIANESIA DO PARA";3;3;3;3;4;4;4;4;4;4;4;4
"150310 GURUPA";1;1;-;-;-;-;-;-;-;-;-;-
"150320 IGARAPE-ACU";7;7;7;7;7;7;14;14;14;14;14;14
"150330 IGARAPE-MIRI";8;8;8;8;8;7;7;7;7;7;7;7
"150345 IPIXUNA DO PARA";3;3;3;3;3;5;5;5;5;5;5;5
"150350 IRITUIA";8;8;8;8;8;8;8;8;8;8;8;8
"150360 ITAITUBA";46;46;45;45;45;45;45;43;43;43;44;44
"150380 JACUNDA";20;20;23;23;23;27;27;27;27;27;27;27
"150390 JURUTI";14;14;14;14;14;14;14;14;14;14;14;14
"150400 LIMOEIRO DO AJURU";4;4;4;4;4;4;4;3;3;3;3;3
"150405 MAE DO RIO";15;15;15;15;15;15;15;15;15;15;15;15
"150410 MAGALHAES BARATA";4;4;4;4;4;4;4;4;4;4;4;4
"150420 MARABA";207;208;208;215;215;217;217;218;211;214;215;215
"150430 MARACANA";1;1;1;1;1;1;1;1;1;1;1;1
"150440 MARAPANIM";2;2;2;2;2;2;2;2;2;2;2;2
"150442 MARITUBA";33;33;33;33;33;35;35;35;35;35;35;35
"150445 MEDICILANDIA";5;5;5;5;5;5;5;5;5;5;5;5
"150460 MOCAJUBA";2;2;2;2;2;2;2;2;2;2;2;2
"150470 MOJU";14;14;14;14;14;14;14;14;14;14;14;16
"150480 MONTE ALEGRE";9;9;9;9;9;9;9;9;9;9;9;9
"150490 MUANA";2;2;2;2;2;2;2;2;2;2;2;2
"150495 NOVA ESPERANCA DO PIRIA";1;1;1;1;1;1;1;1;1;1;1;1
"150497 NOVA IPIXUNA";2;2;2;2;2;2;2;2;2;2;2;2
"150500 NOVA TIMBOTEUA";-;1;1;1;1;1;1;1;1;1;1;1
"150503 NOVO PROGRESSO";3;3;3;3;3;3;3;3;3;3;3;3
"150506 NOVO REPARTIMENTO";18;18;18;20;20;20;29;29;29;29;29;29
"150510 OBIDOS";13;13;13;13;13;17;17;17;17;17;17;17
"150530 ORIXIMINA";3;8;8;8;8;16;16;16;15;16;16;16
"150540 OUREM";3;3;3;3;3;3;3;3;3;3;3;3
"150543 OURILANDIA DO NORTE";31;31;31;31;30;33;33;33;33;33;33;33
"150548 PACAJA";8;8;8;8;8;8;8;7;7;7;7;7
"150549 PALESTINA DO PARA";1;1;1;1;1;1;1;1;1;1;1;1
"150550 PARAGOMINAS";46;46;46;46;46;46;46;46;46;47;47;47
"150553 PARAUAPEBAS";223;227;230;231;231;225;228;232;216;214;213;214
"150555 PAU D'ARCO";2;2;2;2;2;2;2;2;2;2;2;2
"150560 PEIXE-BOI";7;7;7;7;7;7;7;5;5;5;5;5
"150563 PICARRA";6;6;6;6;6;6;6;6;6;6;6;6
"150580 PORTEL";6;9;9;9;9;9;9;9;9;9;9;9
"150590 PORTO DE MOZ";2;2;2;2;2;2;2;2;2;2;2;2
"150610 PRIMAVERA";5;5;5;5;5;5;5;5;5;5;5;5
"150611 QUATIPURU";1;1;1;1;1;1;1;1;1;1;1;1
"150613 REDENCAO";58;58;56;57;57;57;58;58;59;59;59;59
"150616 RIO MARIA";26;26;26;26;26;26;26;26;26;26;26;26
"150618 RONDON DO PARA";16;16;16;16;16;16;16;16;16;16;16;16
"150619 RUROPOLIS";4;6;6;6;6;6;6;6;6;6;6;6
"150620 SALINOPOLIS";14;14;14;14;14;14;14;14;14;14;14;14
"150630 SALVATERRA";1;1;1;1;1;1;1;1;1;1;1;1
"150635 SANTA BARBARA DO PARA";3;3;3;3;3;3;3;3;3;3;3;3
"150650 SANTA IZABEL DO PARA";24;24;24;24;22;25;25;25;25;25;22;22
"150658 SANTA MARIA DAS BARREIRAS";3;3;3;3;3;3;3;3;3;3;3;3
"150660 SANTA MARIA DO PARA";14;14;14;14;14;14;14;14;14;14;14;14
"150670 SANTANA DO ARAGUAIA";6;6;7;7;7;7;7;7;7;7;7;7
"150680 SANTAREM";161;163;165;171;173;175;175;175;175;183;192;195
"150700 SANTO ANTONIO DO TAUA";2;2;2;2;2;2;2;2;2;2;2;2
"150715 SAO DOMINGOS DO ARAGUAIA";3;3;3;3;3;3;3;3;3;3;3;3
"150720 SAO DOMINGOS DO CAPIM";20;20;20;20;20;20;20;20;20;20;20;20
"150730 SAO FELIX DO XINGU";6;6;6;6;6;6;6;6;6;6;6;6
"150740 SAO FRANCISCO DO PARA";4;4;4;4;4;4;4;4;4;4;4;4
"150745 SAO GERALDO DO ARAGUAIA";12;12;12;12;12;12;12;12;12;12;12;12
"150747 SAO JOAO DE PIRABAS";5;5;5;5;5;5;5;5;5;5;5;5
"150750 SAO JOAO DO ARAGUAIA";2;2;2;2;2;2;2;1;1;1;1;1
"150760 SAO MIGUEL DO GUAMA";17;17;17;17;17;17;17;17;17;17;17;17
"150795 TAILANDIA";10;12;12;12;13;13;13;13;13;13;13;13
"150797 TERRA SANTA";5;5;5;5;5;5;5;5;5;5;5;5
"150800 TOME-ACU";10;10;10;10;10;10;10;10;10;10;10;10
"150803 TRACUATEUA";7;7;7;7;7;7;7;7;7;7;7;7
"150805 TRAIRAO";1;1;1;1;1;1;1;1;1;1;1;1
"150808 TUCUMA";23;23;23;23;23;25;25;25;25;25;25;25
"150810 TUCURUI";67;67;69;69;69;69;69;69;67;64;64;64
"150812 ULIANOPOLIS";2;2;2;2;2;2;2;2;2;2;2;2
"150815 URUARA";1;1;1;1;1;1;1;1;1;1;1;1
"150820 VIGIA";7;7;7;7;7;7;7;7;7;7;7;7
"150830 VISEU";16;16;16;16;16;19;19;19;19;19;19;19
"150835 VITORIA DO XINGU";5;5;5;5;5;5;5;5;5;5;5;5
"150840 XINGUARA";25;23;25;28;28;28;28;28;28;28;28;28
"160010 AMAPA";14;14;14;14;14;14;14;14;14;14;1;1
"160015 PEDRA BRANCA DO AMAPARI";3;3;3;4;4;4;6;6;6;6;6;6
"160020 CALCOENE";1;1;1;1;1;1;1;1;1;1;1;1
"160027 LARANJAL DO JARI";11;11;11;11;11;11;11;11;11;10;10;10
"160030 MACAPA";290;290;290;301;312;316;315;323;323;323;323;323
"160040 MAZAGAO";3;3;3;3;3;3;3;3;3;3;3;3
"160050 OIAPOQUE";5;5;5;5;5;5;5;5;5;5;5;5
"160053 PORTO GRANDE";4;4;4;4;4;4;4;4;8;8;8;8
"160060 SANTANA";49;49;49;49;49;49;49;49;49;49;49;49
"160070 TARTARUGALZINHO";3;3;3;3;3;3;3;3;3;3;3;3
"170070 ALVORADA";6;6;6;6;6;6;6;7;7;7;7;7
"170200 ARAGUACU";2;2;2;2;2;2;2;2;2;2;2;2
"170210 ARAGUAINA";81;82;82;81;81;81;81;82;82;82;83;83
"170230 ARAPOEMA";3;3;3;3;3;3;3;3;3;3;3;3
"170255 AUGUSTINOPOLIS";11;11;11;11;11;12;12;14;14;14;14;14
"170310 BARROLANDIA";1;1;1;1;1;1;1;1;1;1;1;1
"170389 CARRASCO BONITO";1;1;1;1;1;1;1;1;1;1;1;1
"170550 COLINAS DO TOCANTINS";19;19;19;19;19;19;19;19;19;19;19;20
"170555 COMBINADO";1;1;1;1;1;1;1;1;1;1;1;1
"170625 CRIXAS DO TOCANTINS";1;1;1;1;1;1;1;1;1;1;1;1
"170700 DIANOPOLIS";7;7;7;7;7;7;7;8;8;8;8;8
"170820 FORMOSO DO ARAGUAIA";11;11;11;11;11;11;11;11;11;11;11;11
"170825 FORTALEZA DO TABOCAO";2;2;2;2;2;2;2;2;2;2;2;2
"170900 GOIATINS";2;2;2;2;2;2;2;2;2;2;2;2
"170930 GUARAI";12;12;12;12;12;12;12;12;12;12;12;12
"170950 GURUPI";274;274;274;273;273;273;273;273;272;271;276;276
"171150 JAU DO TOCANTINS";1;1;1;1;1;1;1;1;1;1;1;1
"171180 JUARINA";1;1;1;1;1;1;1;1;1;1;1;1
"171320 MIRACEMA DO TOCANTINS";12;12;12;12;12;12;12;12;12;12;12;12
"171430 NAZARE";-;-;-;-;-;-;-;-;-;1;1;1
"171510 NOVO ACORDO";-;-;-;-;-;-;1;1;1;1;1;1
"171515 NOVO ALEGRE";1;1;1;1;1;1;1;1;1;1;1;1
"171575 PALMEIROPOLIS";1;1;1;1;1;1;1;1;1;1;1;1
"171610 PARAISO DO TOCANTINS";26;26;26;32;32;32;32;32;32;32;34;34
"171650 PEDRO AFONSO";2;2;2;2;2;2;2;2;2;2;2;2
"171660 PEIXE";1;1;1;1;1;1;1;1;1;1;1;1
"171670 COLMEIA";3;3;3;3;3;3;3;3;3;3;3;3
"171820 PORTO NACIONAL";48;48;48;48;48;48;48;48;48;48;48;48
"171845 PUGMIL";1;1;1;1;1;1;1;1;1;1;1;1
"172010 SAO BENTO DO TOCANTINS";3;3;3;3;3;3;3;3;3;3;3;3
"172020 SAO MIGUEL DO TOCANTINS";3;3;3;3;3;3;3;3;3;3;3;3
"172065 SILVANOPOLIS";7;7;7;7;7;7;7;7;7;7;7;7
"172090 TAGUATINGA";3;3;3;3;3;3;3;3;3;3;3;3
"172100 PALMAS";564;565;577;579;588;581;583;583;581;597;596;597
"172120 TOCANTINOPOLIS";1;1;1;1;2;2;2;2;2;2;2;2
"172210 XAMBIOA";-;-;-;-;-;-;-;-;1;1;1;1
"210005 ACAILANDIA";81;81;82;82;81;83;83;83;83;83;83;83
"210015 AGUA DOCE DO MARANHAO";1;1;1;1;1;1;1;1;1;1;1;1
"210020 ALCANTARA";2;2;2;2;2;2;2;2;-;-;-;-
"210030 ALDEIAS ALTAS";3;3;3;3;3;3;3;3;3;3;3;3
"210043 ALTO ALEGRE DO MARANHAO";10;10;10;10;10;10;10;10;11;11;11;11
"210047 ALTO ALEGRE DO PINDARE";2;2;2;2;2;2;2;2;2;2;2;2
"210050 ALTO PARNAIBA";4;4;4;4;4;4;4;4;4;4;4;4
"210060 AMARANTE DO MARANHAO";8;8;8;8;8;8;8;8;8;8;8;8
"210070 ANAJATUBA";3;3;3;3;3;3;3;3;3;3;3;3
"210080 ANAPURUS";1;1;1;1;1;1;1;1;1;1;1;1
"210100 ARARI";2;2;2;2;2;2;2;2;2;2;2;2
"210120 BACABAL";36;36;36;36;30;30;30;30;31;31;31;31
"210125 BACABEIRA";2;2;2;2;2;2;2;2;2;2;2;2
"210140 BALSAS";85;85;85;97;97;101;105;110;116;116;116;122
"210150 BARAO DE GRAJAU";2;2;2;2;2;2;2;3;3;3;3;3
"210160 BARRA DO CORDA";9;9;9;9;9;9;9;9;9;9;9;9
"210170 BARREIRINHAS";18;18;18;17;18;18;18;18;21;24;24;24
"210203 BOM JESUS DAS SELVAS";1;1;1;1;1;1;1;1;1;1;1;1
"210207 BOM LUGAR";2;2;2;2;2;2;2;2;2;2;2;2
"210220 BURITI";2;2;2;2;2;2;2;2;2;2;2;2
"210232 BURITICUPU";13;13;13;13;13;13;16;16;17;17;17;17
"210255 CAMPESTRE DO MARANHAO";1;1;1;1;1;1;1;1;1;1;1;1
"210275 CAPINZAL DO NORTE";1;1;1;1;1;1;1;1;1;1;1;1
"210280 CAROLINA";2;2;2;2;2;2;2;2;2;2;2;2
"210290 CARUTAPERA";5;5;5;5;5;5;5;5;5;5;5;5
"210300 CAXIAS";154;144;144;144;145;145;147;155;166;163;163;164
"210312 CENTRAL DO MARANHAO";1;1;1;1;1;1;1;1;1;1;1;1
"210315 CENTRO DO GUILHERME";2;2;2;2;2;2;2;2;2;2;2;2
"210320 CHAPADINHA";14;14;14;14;14;14;15;22;22;23;23;23
"210325 CIDELANDIA";2;2;2;2;2;2;2;2;2;2;2;2
"210330 CODO";21;21;22;22;22;22;20;20;20;20;20;20
"210340 COELHO NETO";29;29;29;29;33;33;33;33;33;33;33;33
"210350 COLINAS";7;7;7;9;9;9;9;9;9;9;9;9
"210360 COROATA";19;19;19;19;19;19;19;20;21;21;21;21
"210370 CURURUPU";4;4;4;5;5;4;4;4;4;4;4;4
"210375 DAVINOPOLIS";6;6;6;6;6;6;6;6;6;6;6;6
"210380 DOM PEDRO";5;5;5;5;5;5;5;5;5;5;5;5
"210390 DUQUE BACELAR";2;2;2;2;2;2;2;2;2;2;2;2
"210400 ESPERANTINOPOLIS";1;1;1;1;1;1;1;1;1;1;1;1
"210405 ESTREITO";9;9;9;9;9;9;9;9;9;10;10;10
"210407 FEIRA NOVA DO MARANHAO";1;1;1;1;1;1;1;1;1;1;1;1
"210409 FORMOSA DA SERRA NEGRA";5;5;5;5;5;5;5;5;5;5;5;5
"210420 FORTUNA";1;1;1;1;1;1;1;1;1;1;1;1
"210430 GODOFREDO VIANA";2;2;2;2;2;2;2;2;2;2;2;2
"210450 GOVERNADOR ARCHER";1;1;1;1;1;1;1;1;1;1;1;1
"210455 GOVERNADOR EDISON LOBAO";1;1;1;1;1;1;1;1;1;1;1;1
"210467 GOVERNADOR NUNES FREIRE";1;1;1;1;1;1;1;1;1;1;1;1
"210480 GRAJAU";16;16;16;16;16;16;16;17;17;17;17;17
"210490 GUIMARAES";1;1;1;1;1;1;1;1;1;1;1;1
"210500 HUMBERTO DE CAMPOS";1;1;1;1;1;1;1;1;1;1;1;1
"210510 ICATU";1;1;1;1;1;1;1;1;1;1;1;1
"210515 IGARAPE DO MEIO";2;2;2;2;2;2;2;2;2;2;2;2
"210520 IGARAPE GRANDE";1;1;1;1;1;1;1;1;1;1;1;1
"210530 IMPERATRIZ";446;447;451;452;452;452;455;445;435;442;442;445
"210540 ITAPECURU MIRIM";13;13;13;13;13;14;14;14;14;14;14;14
"210545 JATOBA";1;1;1;1;1;1;1;1;1;1;1;1
"210550 JOAO LISBOA";6;6;8;8;8;8;8;8;8;8;8;8
"210560 JOSELANDIA";3;3;3;3;3;3;3;3;3;3;3;3
"210570 LAGO DA PEDRA";21;21;23;23;23;23;23;23;23;23;25;25
"210592 LAGOA DO MATO";1;1;1;1;1;1;1;1;1;1;1;1
"210594 LAGO DOS RODRIGUES";4;4;4;4;4;4;4;-;-;-;-;-
"210596 LAGOA GRANDE DO MARANHAO";1;1;1;1;1;1;1;1;1;1;1;1
"210600 LIMA CAMPOS";2;2;2;2;2;2;2;2;2;2;2;2
"210632 MARACACUME";4;4;4;4;4;4;4;4;4;4;4;4
"210635 MARAJA DO SENA";2;2;2;2;2;2;2;2;2;2;2;2
"210637 MARANHAOZINHO";2;2;2;2;2;2;2;2;2;2;2;2
"210640 MATA ROMA";1;1;1;1;1;1;1;1;1;1;1;1
"210650 MATINHA";3;3;3;3;3;3;3;3;3;3;3;3
"210660 MATOES";7;7;7;7;7;7;7;7;7;7;7;7
"210663 MATOES DO NORTE";11;11;11;11;11;11;9;9;9;9;9;9
"210670 MIRADOR";1;1;1;1;1;1;1;1;1;1;1;1
"210675 MIRANDA DO NORTE";4;4;4;4;4;4;4;4;4;4;4;4
"210680 MIRINZAL";1;1;1;1;1;1;1;1;1;1;1;1
"210690 MONCAO";2;2;2;2;3;3;3;3;3;3;3;3
"210700 MONTES ALTOS";1;1;1;1;1;1;1;1;1;1;1;1
"210710 MORROS";2;2;2;2;2;2;2;2;2;2;2;2
"210735 NOVA OLINDA DO MARANHAO";3;3;3;3;3;3;3;3;3;3;3;3
"210740 OLHO D'AGUA DAS CUNHAS";3;3;3;3;3;3;3;3;3;3;3;3
"210745 OLINDA NOVA DO MARANHAO";2;2;2;2;2;2;2;2;2;2;2;2
"210750 PACO DO LUMIAR";32;32;32;32;32;33;36;36;36;36;36;36
"210760 PALMEIRANDIA";4;4;4;4;4;4;4;4;4;4;4;4
"210780 PARNARAMA";16;16;16;16;16;16;16;16;16;16;16;16
"210790 PASSAGEM FRANCA";6;6;6;6;6;6;6;6;6;5;5;5
"210800 PASTOS BONS";10;10;10;10;10;10;10;10;11;11;11;11
"210810 PAULO RAMOS";5;5;5;5;5;5;5;5;5;5;5;5
"210820 PEDREIRAS";37;37;37;37;37;38;38;38;38;38;38;38
"210825 PEDRO DO ROSARIO";1;1;1;1;1;1;1;1;1;1;1;1
"210830 PENALVA";3;3;3;3;3;3;3;3;3;3;4;3
"210840 PERI MIRIM";2;2;2;2;2;2;2;2;2;2;2;2
"210845 PERITORO";1;1;1;1;1;1;1;1;1;1;1;1
