CNES - Recursos Físicos - Ambulatório - Leitos de Repouso e Observação - Brasil
Leitos Repouso/Observação Indif por Município e Ano/mês compet.
Período:2024
"Município";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez"
"130340 PARINTINS";20;20;20;20;20;20;20;20;20;20;20;20
"130353 PRESIDENTE FIGUEIREDO";4;4;4;4;4;4;4;4;4;4;4;4
"130360 SANTA ISABEL DO RIO NEGRO";3;3;3;3;3;3;3;3;3;2;2;2
"130370 SANTO ANTONIO DO ICA";1;1;1;1;1;1;1;1;1;1;1;1
"130380 SAO GABRIEL DA CACHOEIRA";1;1;1;1;1;1;1;1;1;1;1;1
"130390 SAO PAULO DE OLIVENCA";1;1;1;1;1;1;1;1;1;1;1;1
"130395 SAO SEBASTIAO DO UATUMA";2;2;2;2;2;2;2;2;2;2;2;2
"130406 TABATINGA";2;2;2;2;2;2;2;2;2;2;2;2
"130410 TAPAUA";5;5;5;5;5;5;5;5;3;3;5;5
"130420 TEFE";3;3;3;3;3;3;3;3;3;3;3;3
"130423 TONANTINS";2;2;2;2;2;2;2;2;2;2;2;2
"140002 AMAJARI";2;2;2;2;2;2;2;2;2;2;2;2
"140010 BOA VISTA";9;9;9;9;9;9;9;9;9;9;9;9
"140015 BONFIM";5;5;5;5;5;5;5;5;5;5;5;5
"140017 CANTA";4;4;4;4;4;4;4;4;4;4;4;4
"140030 MUCAJAI";4;4;4;4;4;4;4;4;4;4;4;4
"140040 NORMANDIA";3;3;3;3;3;3;3;3;5;5;5;5
"140047 RORAINOPOLIS";1;1;1;1;1;1;1;1;1;1;1;1
"150010 ABAETETUBA";11;11;11;11;11;11;11;11;11;11;11;11
"150020 ACARA";8;8;8;8;8;8;8;8;8;8;8;8
"150034 AGUA AZUL DO NORTE";3;3;3;3;3;3;3;3;3;3;3;3
"150040 ALENQUER";10;10;10;10;10;10;10;10;10;10;10;10
"150050 ALMEIRIM";2;2;2;2;2;2;2;2;2;2;2;2
"150060 ALTAMIRA";12;11;11;12;12;12;12;12;12;12;12;12
"150080 ANANINDEUA";23;23;23;23;23;23;20;20;20;20;20;20
"150085 ANAPU";5;5;5;5;5;5;5;5;5;5;5;5
"150090 AUGUSTO CORREA";37;37;37;37;37;37;37;37;37;37;37;37
"150095 AURORA DO PARA";3;3;3;3;3;3;3;3;3;3;3;3
"150100 AVEIRO";3;3;3;3;2;2;2;2;2;4;4;4
"150120 BAIAO";15;15;15;15;15;15;15;15;15;15;15;15
"150125 BANNACH";5;5;5;5;5;5;5;5;5;5;5;5
"150130 BARCARENA";6;6;6;6;6;6;6;6;6;6;6;6
"150140 BELEM";156;156;157;157;157;157;154;154;149;154;154;155
"150145 BELTERRA";2;2;2;2;2;2;2;2;2;2;2;2
"150150 BENEVIDES";5;5;5;5;5;5;5;5;5;5;5;5
"150157 BOM JESUS DO TOCANTINS";2;2;2;2;2;2;2;2;2;2;2;2
"150160 BONITO";2;2;2;2;2;2;2;2;2;2;2;2
"150170 BRAGANCA";35;35;35;35;35;35;35;35;35;35;35;35
"150172 BRASIL NOVO";7;7;7;7;7;7;7;7;7;7;7;7
"150175 BREJO GRANDE DO ARAGUAIA";4;4;4;4;4;4;4;4;4;4;4;4
"150178 BREU BRANCO";5;5;5;5;5;5;5;5;5;5;5;5
"150180 BREVES";3;3;3;3;3;4;4;4;4;4;4;4
"150195 CACHOEIRA DO PIRIA";4;4;4;4;4;4;4;4;4;4;4;4
"150200 CACHOEIRA DO ARARI";4;4;4;4;4;4;4;4;4;4;4;4
"150210 CAMETA";10;10;10;10;10;10;10;10;10;10;10;10
"150215 CANAA DOS CARAJAS";10;10;10;10;10;10;10;10;10;10;10;10
"150220 CAPANEMA";16;16;16;16;16;16;16;16;16;16;16;16
"150230 CAPITAO POCO";16;16;16;16;16;16;16;16;16;16;16;16
"150240 CASTANHAL";22;22;22;22;22;22;22;22;22;22;22;22
"150270 CONCEICAO DO ARAGUAIA";1;1;1;-;-;-;-;-;-;-;-;-
"150276 CUMARU DO NORTE";7;7;7;7;7;7;7;7;7;7;7;7
"150290 CURUCA";3;3;3;3;3;3;3;3;3;3;3;3
"150293 DOM ELISEU";5;5;5;5;5;5;5;5;5;5;5;5
"150300 FARO";4;4;4;4;4;4;4;4;4;4;4;4
"150309 GOIANESIA DO PARA";15;15;15;15;15;15;15;15;15;15;15;15
"150310 GURUPA";3;3;3;3;3;3;3;3;3;3;3;3
"150320 IGARAPE-ACU";4;4;4;4;4;4;4;4;4;4;4;4
"150330 IGARAPE-MIRI";15;15;15;15;15;15;15;15;15;15;15;15
"150345 IPIXUNA DO PARA";17;17;17;17;17;17;17;17;17;17;17;17
"150350 IRITUIA";6;6;6;6;6;9;9;9;9;9;9;9
"150360 ITAITUBA";3;3;3;3;3;3;3;3;3;3;3;3
"150370 ITUPIRANGA";26;26;26;26;26;26;26;26;26;26;26;26
"150375 JACAREACANGA";1;1;1;1;1;1;1;1;1;1;1;1
"150380 JACUNDA";6;6;6;6;6;6;6;6;6;6;6;6
"150390 JURUTI";1;1;1;1;1;1;1;1;1;1;1;1
"150400 LIMOEIRO DO AJURU";6;6;6;6;6;6;6;6;6;6;6;6
"150405 MAE DO RIO";10;10;10;10;10;10;10;10;10;10;10;10
"150410 MAGALHAES BARATA";8;8;8;8;8;8;8;8;8;8;8;8
"150420 MARABA";13;15;17;17;17;17;17;17;17;19;22;22
"150440 MARAPANIM";3;3;3;3;3;3;3;3;3;3;3;3
"150442 MARITUBA";5;5;5;5;5;5;5;5;5;5;5;5
"150470 MOJU";4;4;4;4;4;4;4;4;4;4;4;4
"150480 MONTE ALEGRE";2;2;2;2;2;2;2;2;2;2;2;2
"150490 MUANA";1;1;1;1;1;1;1;1;1;1;1;1
"150495 NOVA ESPERANCA DO PIRIA";6;6;6;6;6;6;6;6;6;6;6;6
"150500 NOVA TIMBOTEUA";2;2;2;2;2;2;2;2;2;2;2;2
"150503 NOVO PROGRESSO";15;15;15;15;15;15;15;15;15;15;15;15
"150510 OBIDOS";5;5;5;5;5;5;5;5;5;5;5;5
"150520 OEIRAS DO PARA";1;1;1;1;1;1;1;1;1;1;1;1
"150530 ORIXIMINA";1;1;1;1;1;1;1;1;1;5;5;5
"150540 OUREM";3;3;3;3;3;3;3;3;3;3;3;3
"150543 OURILANDIA DO NORTE";16;16;16;16;16;16;16;16;16;16;16;16
"150548 PACAJA";11;11;11;11;11;11;11;11;11;11;11;11
"150549 PALESTINA DO PARA";5;5;5;5;5;5;5;5;5;5;5;5
"150550 PARAGOMINAS";24;24;24;24;24;24;24;24;24;24;24;24
"150553 PARAUAPEBAS";13;13;13;13;13;13;13;13;18;18;18;18
"150560 PEIXE-BOI";4;4;4;4;4;4;4;4;4;4;4;4
"150563 PICARRA";9;9;9;9;9;9;9;9;9;9;9;9
"150565 PLACAS";1;1;1;1;1;1;1;1;1;1;1;1
"150590 PORTO DE MOZ";2;2;2;2;2;2;2;2;2;2;2;2
"150600 PRAINHA";1;1;1;1;1;1;1;1;1;1;1;1
"150611 QUATIPURU";20;20;20;20;20;20;20;20;20;20;20;20
"150613 REDENCAO";19;19;19;19;19;19;19;19;19;19;19;19
"150616 RIO MARIA";1;1;1;1;1;1;1;1;1;1;1;1
"150618 RONDON DO PARA";4;4;4;4;4;4;4;4;4;4;4;4
"150619 RUROPOLIS";4;5;5;5;5;5;5;5;5;5;5;5
"150620 SALINOPOLIS";28;28;28;28;28;28;28;28;28;28;28;28
"150650 SANTA IZABEL DO PARA";9;9;9;9;9;9;9;9;9;9;9;9
"150670 SANTANA DO ARAGUAIA";1;1;1;1;1;1;1;1;1;1;1;1
"150680 SANTAREM";15;15;15;10;10;10;10;10;10;13;13;13
"150690 SANTAREM NOVO";5;5;5;5;5;5;5;5;5;5;5;5
"150715 SAO DOMINGOS DO ARAGUAIA";2;2;2;2;2;2;2;2;2;2;2;2
"150720 SAO DOMINGOS DO CAPIM";7;7;7;7;7;7;7;7;7;7;7;7
"150730 SAO FELIX DO XINGU";43;43;43;43;43;43;43;43;43;43;43;43
"150740 SAO FRANCISCO DO PARA";2;2;2;2;2;2;2;2;2;2;2;2
"150745 SAO GERALDO DO ARAGUAIA";5;5;5;5;5;5;5;5;5;5;5;5
"150747 SAO JOAO DE PIRABAS";6;6;6;6;9;9;9;9;9;9;9;9
"150750 SAO JOAO DO ARAGUAIA";3;3;3;3;3;3;3;3;3;3;3;3
"150760 SAO MIGUEL DO GUAMA";10;10;10;10;10;10;10;10;10;10;10;10
"150770 SAO SEBASTIAO DA BOA VISTA";6;6;6;6;6;6;6;6;6;6;6;6
"150775 SAPUCAIA";5;5;5;5;5;5;5;5;5;5;5;5
"150780 SENADOR JOSE PORFIRIO";3;3;3;3;3;3;3;3;3;3;3;3
"150795 TAILANDIA";1;1;1;1;1;1;1;1;1;1;1;1
"150800 TOME-ACU";15;15;15;15;15;15;15;15;15;15;15;15
"150803 TRACUATEUA";5;5;5;5;5;5;5;5;5;5;5;5
"150805 TRAIRAO";1;1;1;1;1;1;1;1;1;1;1;1
"150808 TUCUMA";6;6;6;6;6;8;8;8;8;8;8;8
"150810 TUCURUI";33;33;33;33;33;33;33;33;33;33;33;33
"150812 ULIANOPOLIS";3;3;3;3;3;3;3;3;3;3;3;3
"150830 VISEU";6;6;6;6;6;6;6;6;6;6;6;6
"150835 VITORIA DO XINGU";7;7;7;7;7;7;7;7;7;7;7;7
"150840 XINGUARA";14;14;14;14;14;14;14;14;14;14;14;14
"160005 SERRA DO NAVIO";7;7;7;7;7;7;7;7;7;7;7;7
"160010 AMAPA";2;2;2;2;2;2;2;2;2;2;2;2
"160015 PEDRA BRANCA DO AMAPARI";6;6;6;6;6;6;6;6;6;6;6;6
"160020 CALCOENE";5;5;5;5;5;5;5;5;5;5;5;5
"160021 CUTIAS";1;1;1;1;1;1;1;1;1;1;1;1
"160025 ITAUBAL";20;20;20;20;20;20;20;20;20;20;20;20
"160030 MACAPA";53;53;53;53;53;53;53;58;58;58;60;60
"160040 MAZAGAO";10;10;10;10;10;10;10;10;10;10;10;14
"160050 OIAPOQUE";9;9;9;9;9;9;9;9;9;9;9;9
"160053 PORTO GRANDE";11;11;11;11;11;11;11;11;11;11;11;11
"160055 PRACUUBA";15;15;15;15;15;15;15;15;15;15;15;15
"160060 SANTANA";8;8;8;8;8;8;8;8;8;8;8;8
"160080 VITORIA DO JARI";5;5;5;5;5;5;5;5;5;5;5;5
"170025 ABREULANDIA";5;5;5;5;5;5;5;5;5;5;5;5
"170070 ALVORADA";2;2;2;2;2;2;2;-;-;-;-;-
"170110 APARECIDA DO RIO NEGRO";2;2;2;2;2;2;2;2;2;2;2;2
"170130 ARAGOMINAS";8;8;8;8;8;8;8;8;8;8;8;8
"170200 ARAGUACU";3;3;3;3;3;3;3;3;3;3;3;3
"170210 ARAGUAINA";41;41;41;41;41;41;41;41;41;41;41;41
"170240 ARRAIAS";2;2;2;2;2;2;2;2;2;2;2;2
"170255 AUGUSTINOPOLIS";8;8;8;8;8;8;8;2;2;2;2;2
"170300 BABACULANDIA";2;2;2;2;2;2;2;2;2;2;2;2
"170310 BARROLANDIA";1;1;1;1;1;1;1;1;1;1;1;1
"170320 BERNARDO SAYAO";2;2;2;2;2;2;2;2;2;2;2;2
"170380 BURITI DO TOCANTINS";8;8;8;8;8;8;8;8;8;8;8;8
"170384 CAMPOS LINDOS";5;5;5;5;5;5;5;5;5;5;5;5
"170386 CARIRI DO TOCANTINS";2;2;2;2;2;2;2;2;2;2;2;2
"170388 CARMOLANDIA";3;3;3;3;3;3;3;3;3;3;3;3
"170410 CENTENARIO";3;3;3;3;3;3;3;3;3;3;3;3
"170460 CHAPADA DE AREIA";3;3;3;3;3;3;3;3;3;3;3;3
"170650 DARCINOPOLIS";3;3;3;3;3;3;3;3;3;3;3;3
"170755 FATIMA";2;2;2;2;2;2;2;2;2;2;2;2
"170820 FORMOSO DO ARAGUAIA";9;9;9;9;9;9;9;9;9;9;9;9
"170825 FORTALEZA DO TABOCAO";2;2;2;2;2;2;2;2;2;2;2;2
"170900 GOIATINS";1;1;1;1;1;1;1;1;1;1;1;1
"170950 GURUPI";7;7;7;7;7;7;7;7;7;7;7;7
"170980 IPUEIRAS";2;2;2;2;2;2;2;2;2;2;2;2
"171050 ITACAJA";3;3;3;3;3;3;3;3;3;3;3;3
"171070 ITAGUATINS";3;3;3;3;3;3;3;3;3;3;3;3
"171150 JAU DO TOCANTINS";4;4;4;4;4;4;4;4;4;4;4;4
"171180 JUARINA";4;4;4;4;4;4;4;4;4;4;4;4
"171190 LAGOA DA CONFUSAO";2;2;2;2;2;2;2;2;2;2;2;2
"171200 LAJEADO";2;2;2;2;2;2;2;2;2;2;2;2
"171245 LUZINOPOLIS";3;3;3;3;3;3;3;3;3;3;3;3
"171270 MATEIROS";3;3;3;3;3;3;3;3;3;3;3;3
"171280 MAURILANDIA DO TOCANTINS";6;6;6;6;6;6;6;6;6;6;6;6
"171370 MONTE SANTO DO TOCANTINS";2;2;2;2;2;2;2;2;2;2;2;2
"171380 PALMEIRAS DO TOCANTINS";2;2;2;2;2;2;2;2;2;2;2;2
"171395 MURICILANDIA";2;2;2;2;2;2;2;2;2;2;2;2
"171430 NAZARE";10;10;10;10;10;10;10;10;10;10;10;10
"171575 PALMEIROPOLIS";5;5;5;5;5;5;3;3;3;3;3;3
"171610 PARAISO DO TOCANTINS";-;-;-;16;16;16;16;16;16;16;16;16
"171620 PARANA";1;1;1;1;1;1;1;1;1;1;1;1
"171630 PAU D'ARCO";1;1;1;1;1;1;1;1;1;1;1;1
"171660 PEIXE";8;8;8;8;8;8;8;8;8;8;8;8
"171670 COLMEIA";1;1;1;1;1;1;1;1;1;1;1;1
"171820 PORTO NACIONAL";14;14;14;14;14;14;14;14;14;14;14;14
"171840 PRESIDENTE KENNEDY";2;2;2;2;2;2;2;2;2;2;2;2
"171850 RECURSOLANDIA";3;3;3;3;3;3;3;3;3;3;3;3
"171884 SANDOLANDIA";2;2;2;2;2;2;2;2;2;2;2;2
"171888 SANTA MARIA DO TOCANTINS";2;2;2;2;2;2;2;2;2;2;2;2
"171889 SANTA RITA DO TOCANTINS";1;1;1;1;1;1;1;1;1;1;1;1
"171900 SANTA TEREZA DO TOCANTINS";4;4;4;4;4;4;4;4;4;4;4;4
"172000 SANTA TEREZINHA DO TOCANTINS";2;2;2;2;2;2;2;2;2;2;2;2
"172025 SAO SALVADOR DO TOCANTINS";8;8;8;8;8;8;8;8;8;8;8;8
"172030 SAO SEBASTIAO DO TOCANTINS";-;-;5;5;5;5;5;5;5;5;5;5
"172049 SAO VALERIO";2;2;2;2;2;2;2;2;2;2;2;2
"172065 SILVANOPOLIS";1;1;1;1;1;1;1;1;1;1;1;1
"172080 SITIO NOVO DO TOCANTINS";1;1;1;1;1;1;1;1;1;1;1;1
"172093 TAIPAS DO TOCANTINS";3;3;3;3;3;3;3;3;3;3;3;3
"172097 TALISMA";2;2;2;2;2;2;2;2;2;2;2;2
"172100 PALMAS";103;103;103;103;103;103;103;103;101;106;106;106
"172110 TOCANTINIA";2;2;2;2;2;2;2;2;2;2;2;2
"172120 TOCANTINOPOLIS";10;10;10;10;10;10;10;10;10;10;10;10
"172208 WANDERLANDIA";4;4;4;4;4;4;4;4;4;4;4;4
"210005 ACAILANDIA";21;21;21;21;21;21;21;21;21;21;21;21
"210030 ALDEIAS ALTAS";2;2;2;2;2;2;2;2;2;2;2;2
"210043 ALTO ALEGRE DO MARANHAO";5;5;5;5;5;5;5;5;5;5;5;5
"210047 ALTO ALEGRE DO PINDARE";5;5;5;5;5;5;5;5;5;5;5;5
"210060 AMARANTE DO MARANHAO";9;9;9;9;9;9;9;9;9;9;9;9
"210070 ANAJATUBA";1;1;1;1;1;1;1;1;1;1;1;1
"210080 ANAPURUS";5;5;5;5;5;5;5;5;5;5;5;5
"210087 ARAGUANA";18;18;18;18;18;18;12;12;12;12;12;12
"210100 ARARI";2;2;2;2;2;2;2;2;2;2;2;2
"210120 BACABAL";8;8;8;8;8;8;8;8;8;8;8;8
"210125 BACABEIRA";3;3;3;3;3;3;3;3;3;3;3;3
"210135 BACURITUBA";2;2;2;2;2;2;2;2;2;2;2;2
"210140 BALSAS";24;24;24;25;25;25;25;25;25;25;25;25
"210160 BARRA DO CORDA";9;9;9;9;9;9;9;9;9;9;9;9
"210170 BARREIRINHAS";3;3;3;3;3;3;3;3;3;3;3;3
"210173 BELAGUA";5;5;5;5;5;5;5;5;5;5;5;5
"210177 BELA VISTA DO MARANHAO";2;2;2;2;2;2;2;2;2;2;2;2
"210197 BOA VISTA DO GURUPI";18;18;18;18;18;18;18;18;18;18;18;18
"210200 BOM JARDIM";17;17;17;17;17;17;17;17;17;17;17;17
"210203 BOM JESUS DAS SELVAS";3;3;3;3;3;3;3;3;3;3;3;3
"210210 BREJO";6;6;6;6;6;6;6;6;6;6;6;6
"210215 BREJO DE AREIA";6;6;6;6;6;6;6;6;6;6;6;6
"210232 BURITICUPU";21;21;21;21;21;21;21;21;21;21;21;21
"210235 BURITIRANA";1;1;1;1;1;1;1;1;1;1;1;1
"210237 CACHOEIRA GRANDE";1;1;1;1;1;1;1;1;1;1;1;1
"210250 CAJARI";1;1;1;1;1;1;1;1;1;1;1;1
"210260 CANDIDO MENDES";5;5;5;5;5;5;5;5;5;5;5;5
"210270 CANTANHEDE";11;11;11;11;11;11;11;11;11;11;11;11
"210275 CAPINZAL DO NORTE";2;2;2;2;2;2;2;2;2;2;2;2
"210300 CAXIAS";4;4;4;4;4;4;4;4;4;4;4;4
"210315 CENTRO DO GUILHERME";9;9;9;9;9;9;9;9;9;9;9;9
"210317 CENTRO NOVO DO MARANHAO";13;13;13;13;13;13;13;13;13;13;13;13
"210320 CHAPADINHA";4;4;4;4;4;4;4;4;4;4;4;4
"210330 CODO";15;15;15;15;15;15;15;15;15;15;15;15
"210340 COELHO NETO";10;10;10;10;12;12;12;12;12;12;12;12
"210350 COLINAS";14;16;16;16;16;16;16;16;16;16;16;16
"210370 CURURUPU";2;2;2;2;2;2;2;2;2;2;2;2
"210375 DAVINOPOLIS";2;2;2;2;2;2;2;2;2;2;2;2
"210380 DOM PEDRO";2;2;2;2;2;2;2;2;2;2;2;2
"210409 FORMOSA DA SERRA NEGRA";1;1;1;1;1;1;1;1;1;1;1;1
"210410 FORTALEZA DOS NOGUEIRAS";3;3;3;3;3;3;3;3;3;3;3;3
"210450 GOVERNADOR ARCHER";7;7;7;7;7;7;7;7;7;7;7;7
"210460 GOVERNADOR EUGENIO BARROS";2;2;2;2;2;2;2;2;2;2;2;2
"210467 GOVERNADOR NUNES FREIRE";2;2;2;2;2;2;2;2;2;2;2;2
"210480 GRAJAU";22;22;22;22;22;22;22;22;22;22;22;22
"210530 IMPERATRIZ";42;42;42;42;42;42;42;41;41;41;41;41
"210540 ITAPECURU MIRIM";7;7;7;7;7;7;7;7;7;7;7;7
"210542 ITINGA DO MARANHAO";3;3;3;3;3;3;3;3;3;3;3;3
"210560 JOSELANDIA";2;2;2;2;2;2;2;2;2;2;2;2
"210565 JUNCO DO MARANHAO";11;11;11;11;11;11;11;11;11;11;11;11
"210570 LAGO DA PEDRA";4;4;4;4;4;4;4;4;4;4;4;4
"210580 LAGO DO JUNCO";3;3;3;3;3;3;3;3;3;3;3;3
"210592 LAGOA DO MATO";3;3;3;3;3;3;3;3;3;3;3;3
"210596 LAGOA GRANDE DO MARANHAO";5;5;5;5;5;5;5;5;5;5;5;5
"210598 LAJEADO NOVO";4;4;4;4;4;4;4;4;4;4;4;4
"210630 MAGALHAES DE ALMEIDA";3;3;3;3;3;3;3;3;3;3;3;3
"210632 MARACACUME";4;4;4;4;4;4;4;4;4;4;4;4
"210635 MARAJA DO SENA";1;1;1;1;1;1;1;1;1;1;1;1
"210637 MARANHAOZINHO";7;7;7;7;7;7;7;7;7;7;7;7
"210640 MATA ROMA";8;8;8;8;8;8;8;8;8;8;8;8
"210660 MATOES";12;12;12;12;12;12;12;12;12;12;12;12
"210663 MATOES DO NORTE";4;4;4;4;4;4;4;4;4;4;4;4
"210667 MILAGRES DO MARANHAO";7;7;7;7;7;7;7;7;7;7;7;7
"210675 MIRANDA DO NORTE";2;2;2;2;2;2;2;2;2;2;2;2
"210680 MIRINZAL";2;2;2;2;2;2;2;2;2;2;2;2
"210690 MONCAO";1;1;1;1;1;-;-;-;-;-;-;-
"210750 PACO DO LUMIAR";1;1;1;1;1;1;1;1;1;1;1;1
"210770 PARAIBANO";1;1;1;1;1;1;1;1;1;1;1;1
"210780 PARNARAMA";3;3;3;3;3;3;3;3;3;3;3;3
"210790 PASSAGEM FRANCA";1;1;1;1;1;1;1;1;1;1;1;1
"210800 PASTOS BONS";3;3;3;3;3;3;3;3;3;3;3;3
"210805 PAULINO NEVES";2;2;2;2;2;2;2;2;2;2;2;2
"210820 PEDREIRAS";3;3;3;3;3;3;3;3;3;3;3;3
"210830 PENALVA";2;2;2;2;2;2;2;2;2;2;2;2
"210840 PERI MIRIM";7;7;7;7;7;7;7;7;7;7;7;7
"210845 PERITORO";4;4;4;4;4;4;4;4;4;4;4;4
"210850 PINDARE-MIRIM";4;4;4;4;4;4;4;4;4;4;4;4
"210860 PINHEIRO";6;6;6;6;6;6;6;6;6;6;6;6
