CNES - Recursos Físicos - Ambulatório - Leitos de Repouso e Observação - Brasil
Leitos Repouso/Observação Femin por Município e Ano/mês compet.
Período:2024
"Município";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez"
"150730 SAO FELIX DO XINGU";4;4;4;4;4;4;4;4;4;4;4;4
"150746 SAO JOAO DA PONTA";2;2;2;2;2;2;2;2;2;2;2;2
"150770 SAO SEBASTIAO DA BOA VISTA";2;2;2;2;2;2;2;2;2;2;2;2
"150795 TAILANDIA";1;1;1;1;1;1;1;1;1;1;1;1
"150796 TERRA ALTA";2;2;2;2;2;2;2;2;2;2;2;2
"150800 TOME-ACU";2;2;2;2;2;2;2;2;2;2;2;2
"150808 TUCUMA";9;9;9;9;14;14;14;14;14;14;14;14
"150820 VIGIA";9;9;9;9;9;9;9;9;9;9;9;9
"160015 PEDRA BRANCA DO AMAPARI";3;3;3;3;3;3;3;3;3;3;3;3
"160020 CALCOENE";4;4;4;4;4;4;4;4;4;4;4;4
"160025 ITAUBAL";4;4;4;4;4;4;4;4;4;4;4;4
"160030 MACAPA";13;13;13;13;13;13;13;10;10;10;10;10
"160050 OIAPOQUE";6;6;6;6;6;6;6;6;6;6;6;6
"160053 PORTO GRANDE";3;3;3;3;3;3;3;3;3;3;3;3
"170035 ALIANCA DO TOCANTINS";9;9;9;9;9;9;-;-;-;-;-;-
"170070 ALVORADA";2;2;2;2;2;2;2;-;-;-;-;-
"170110 APARECIDA DO RIO NEGRO";4;4;4;4;4;4;4;4;4;4;4;4
"170190 ARAGUACEMA";1;1;1;1;1;6;6;6;6;6;6;6
"170210 ARAGUAINA";6;6;6;6;6;6;6;6;6;6;6;6
"170215 ARAGUANA";3;3;3;3;3;3;3;3;3;3;3;3
"170290 AXIXA DO TOCANTINS";5;5;5;5;5;5;5;5;5;5;5;5
"170300 BABACULANDIA";4;4;4;4;4;4;4;4;4;4;4;4
"170310 BARROLANDIA";2;2;2;2;2;2;2;2;2;2;2;2
"170360 BRASILANDIA DO TOCANTINS";3;3;3;3;3;3;3;3;3;3;3;3
"170390 CASEARA";4;4;4;4;4;4;4;4;4;4;4;4
"170550 COLINAS DO TOCANTINS";1;1;1;1;1;1;1;1;1;1;1;1
"170560 CONCEICAO DO TOCANTINS";5;5;5;5;5;5;5;5;5;5;5;5
"170600 COUTO MAGALHAES";3;3;3;3;3;3;3;3;3;3;3;3
"170625 CRIXAS DO TOCANTINS";3;3;3;3;3;3;3;3;3;3;3;3
"170740 ESPERANTINA";6;6;6;6;6;6;6;6;6;6;6;6
"170755 FATIMA";4;4;4;4;4;4;4;4;4;4;4;4
"170825 FORTALEZA DO TABOCAO";3;3;3;3;3;3;3;3;3;3;3;3
"170900 GOIATINS";5;5;5;5;5;5;5;5;5;5;5;5
"170930 GUARAI";4;4;4;4;4;4;4;4;4;4;4;4
"170950 GURUPI";4;4;4;4;4;4;4;4;4;4;4;4
"170980 IPUEIRAS";1;1;1;1;1;1;1;1;1;1;1;1
"171050 ITACAJA";4;4;4;4;4;4;4;4;4;4;4;4
"171090 ITAPIRATINS";2;2;2;2;2;2;2;2;2;2;2;2
"171190 LAGOA DA CONFUSAO";4;4;4;4;4;4;4;4;4;4;4;4
"171195 LAGOA DO TOCANTINS";4;4;4;4;4;4;4;4;4;4;4;4
"171215 LAVANDEIRA";3;3;3;3;3;3;3;3;3;3;3;3
"171240 LIZARDA";6;6;6;6;6;6;6;6;6;6;6;6
"171245 LUZINOPOLIS";1;1;1;1;1;1;1;1;1;1;1;1
"171360 MONTE DO CARMO";5;5;5;5;5;5;5;5;5;5;5;5
"171395 MURICILANDIA";4;4;4;4;4;4;4;4;4;4;4;4
"171510 NOVO ACORDO";8;8;8;8;8;8;8;8;8;8;8;8
"171670 COLMEIA";2;2;2;2;2;2;2;2;2;2;2;2
"171720 PIRAQUE";7;7;7;7;7;7;7;7;7;7;7;7
"171800 PORTO ALEGRE DO TOCANTINS";3;3;3;3;3;3;3;3;3;3;3;3
"171820 PORTO NACIONAL";2;2;2;2;2;2;2;2;2;2;2;2
"171886 SANTA FE DO ARAGUAIA";2;2;2;2;2;2;2;2;2;2;2;2
"171890 SANTA ROSA DO TOCANTINS";3;3;3;3;3;3;3;3;3;3;3;3
"172030 SAO SEBASTIAO DO TOCANTINS";4;4;4;4;4;4;4;4;4;4;4;4
"172049 SAO VALERIO";3;3;3;3;3;3;3;3;3;3;3;3
"172065 SILVANOPOLIS";4;4;4;4;4;4;4;4;4;4;4;4
"172100 PALMAS";3;3;3;3;3;3;3;3;3;3;3;3
"172110 TOCANTINIA";2;2;2;2;2;2;2;2;2;2;2;2
"210005 ACAILANDIA";6;6;6;6;6;6;6;6;6;6;6;6
"210050 ALTO PARNAIBA";6;6;6;6;6;6;6;6;6;6;6;6
"210055 AMAPA DO MARANHAO";3;3;3;3;3;3;3;3;3;3;3;3
"210060 AMARANTE DO MARANHAO";2;2;2;2;2;2;2;2;2;2;2;2
"210095 ARAME";6;6;6;6;6;6;6;6;6;6;6;6
"210110 AXIXA";6;6;6;6;6;6;6;6;6;6;6;6
"210120 BACABAL";20;20;20;20;20;20;20;20;20;20;20;20
"210125 BACABEIRA";2;2;2;2;2;2;2;2;2;2;2;2
"210140 BALSAS";1;1;1;1;1;1;1;1;1;1;1;1
"210150 BARAO DE GRAJAU";1;1;1;1;1;1;1;1;1;1;1;1
"210160 BARRA DO CORDA";20;20;20;20;20;20;20;20;20;20;20;20
"210180 BENEDITO LEITE";1;1;1;1;1;1;1;1;1;1;1;1
"210232 BURITICUPU";1;1;1;1;1;1;1;1;1;1;1;1
"210260 CANDIDO MENDES";6;6;6;6;6;6;6;6;6;6;6;6
"210300 CAXIAS";11;11;11;11;11;11;11;15;15;15;15;15
"210315 CENTRO DO GUILHERME";6;6;6;6;6;6;6;6;6;6;6;6
"210325 CIDELANDIA";-;1;1;1;1;1;1;1;1;1;1;1
"210340 COELHO NETO";3;3;3;3;-;-;-;-;-;-;-;-
"210350 COLINAS";3;3;3;3;3;3;3;3;3;3;3;3
"210407 FEIRA NOVA DO MARANHAO";5;5;5;5;5;5;5;5;5;5;5;5
"210420 FORTUNA";4;4;4;4;4;4;4;4;4;4;4;4
"210480 GRAJAU";6;6;6;6;6;6;6;6;6;6;6;6
"210530 IMPERATRIZ";7;7;7;7;7;7;7;7;7;7;7;7
"210547 JENIPAPO DOS VIEIRAS";3;3;3;3;3;3;3;3;3;3;3;3
"210550 JOAO LISBOA";3;3;3;3;3;3;3;3;3;3;3;3
"210570 LAGO DA PEDRA";1;1;1;1;1;1;1;1;1;1;1;1
"210610 LORETO";3;3;3;3;3;3;3;3;3;3;3;3
"210637 MARANHAOZINHO";2;2;2;2;2;2;2;2;2;2;2;2
"210690 MONCAO";1;1;1;1;1;1;-;-;-;-;-;-
"210745 OLINDA NOVA DO MARANHAO";1;1;1;1;1;1;1;1;1;1;1;1
"210805 PAULINO NEVES";9;9;9;9;9;9;9;9;9;9;9;9
"210820 PEDREIRAS";2;2;2;2;2;2;2;2;2;2;2;2
"210860 PINHEIRO";3;3;3;3;3;3;3;3;3;3;3;3
"210905 PORTO RICO DO MARANHAO";6;6;6;6;6;6;6;6;6;6;6;6
"210910 PRESIDENTE DUTRA";2;2;2;2;2;2;2;2;2;2;2;2
"210923 PRESIDENTE MEDICI";2;2;2;2;2;2;2;2;2;2;2;2
"210950 RIACHAO";2;2;2;2;2;2;2;2;2;2;2;2
"211020 SANTA RITA";3;3;3;3;3;3;3;3;3;3;3;3
"211040 SAO BENEDITO DO RIO PRETO";4;4;4;4;4;4;4;4;4;4;4;4
"211065 SAO DOMINGOS DO AZEITAO";1;1;1;1;1;1;1;1;1;1;1;1
"211080 SAO FELIX DE BALSAS";8;8;8;8;8;8;8;8;8;8;8;8
"211102 SAO JOAO DO CARU";1;1;1;1;1;1;1;1;1;1;1;1
"211130 SAO LUIS";13;13;13;13;13;10;10;10;10;10;10;10
"211220 TIMON";1;1;1;1;1;1;1;1;1;1;1;1
"211227 TUFILANDIA";2;2;2;2;2;2;2;2;2;2;2;2
"211245 TURILANDIA";3;3;3;3;3;3;3;3;3;3;3;3
"211260 URBANO SANTOS";1;1;1;1;1;1;1;1;1;1;1;1
"211285 VILA NOVA DOS MARTIRIOS";1;1;1;1;1;1;1;1;1;1;1;1
"220100 ARRAIAL";2;2;2;2;2;2;2;2;2;2;2;2
"220110 AVELINO LOPES";1;1;1;1;1;1;1;1;1;1;1;1
"220120 BARRAS";2;2;2;2;2;2;2;2;2;2;2;2
"220220 CAMPO MAIOR";4;4;4;4;4;4;4;4;4;4;4;4
"220271 COCAL DE TELHA";3;3;3;3;3;3;3;3;3;3;3;3
"220280 CONCEICAO DO CANINDE";2;2;2;2;2;2;2;2;2;2;2;2
"220310 CRISTINO CASTRO";1;1;1;1;1;1;1;1;1;1;1;1
"220327 CURRAL NOVO DO PIAUI";1;1;1;1;1;1;1;1;1;1;1;1
"220400 FRANCINOPOLIS";3;3;3;3;3;3;3;3;3;3;3;3
"220450 GUADALUPE";3;3;3;3;3;3;3;3;3;3;3;3
"220515 JACOBINA DO PIAUI";3;3;3;3;3;3;3;3;3;3;3;3
"220530 JERUMENHA";2;2;2;2;2;2;2;2;2;2;2;2
"220545 JOCA MARQUES";1;1;1;1;1;1;1;1;1;1;1;1
"220556 LAGOA DO BARRO DO PIAUI";2;2;2;2;2;2;2;2;2;2;2;2
"220559 LAGOA DO SITIO";2;2;2;2;2;2;2;2;2;2;2;2
"220585 MADEIRO";1;1;1;1;1;1;1;1;1;1;1;1
"220770 PARNAIBA";8;8;8;8;8;8;8;8;8;8;8;8
"220790 PEDRO II";6;6;6;6;6;6;6;6;6;6;6;6
"220800 PICOS";3;3;3;3;3;3;3;3;3;3;3;3
"220860 PRATA DO PIAUI";3;3;3;3;3;3;3;3;3;3;3;3
"220930 SANTA LUZ";2;2;2;2;2;2;2;2;2;2;2;2
"220997 SAO JOAO DO ARRAIAL";2;2;2;2;2;2;2;2;2;2;2;2
"221060 SAO RAIMUNDO NONATO";36;36;36;36;36;36;36;36;36;36;20;20
"221063 SEBASTIAO LEAL";2;2;2;2;2;2;2;2;2;2;2;2
"221080 SIMPLICIO MENDES";5;5;5;5;5;5;5;5;5;5;5;5
"221100 TERESINA";17;17;17;17;17;17;17;17;17;17;17;17
"230030 ACOPIARA";1;1;1;1;1;1;1;1;1;1;1;1
"230070 ALTO SANTO";9;9;9;9;9;9;9;9;9;9;9;9
"230080 ANTONINA DO NORTE";2;2;2;2;2;2;2;2;2;2;2;2
"230100 AQUIRAZ";25;25;25;25;25;25;25;25;25;25;25;25
"230120 ARACOIABA";4;4;4;4;4;4;4;4;4;4;4;4
"230160 ASSARE";1;1;1;1;1;1;1;1;1;1;1;1
"230170 AURORA";12;12;12;12;12;12;12;12;12;12;12;12
"230190 BARBALHA";4;4;4;4;4;4;4;4;4;4;4;4
"230195 BARREIRA";4;4;4;4;4;4;4;4;4;4;4;4
"230200 BARRO";3;3;3;3;3;3;3;3;3;3;3;3
"230205 BARROQUINHA";8;8;8;8;8;8;8;8;8;8;8;8
"230220 BEBERIBE";2;2;2;2;2;2;2;2;2;2;2;2
"230240 BOA VIAGEM";2;2;2;2;2;2;2;2;2;2;2;2
"230260 CAMOCIM";4;4;4;4;4;4;4;4;4;4;4;4
"230270 CAMPOS SALES";4;4;4;4;4;4;4;4;4;4;4;4
"230280 CANINDE";3;3;3;3;3;3;3;3;3;3;3;3
"230290 CAPISTRANO";1;1;1;1;1;1;1;1;1;1;1;1
"230370 CAUCAIA";1;1;1;1;1;1;1;1;1;1;1;1
"230380 CEDRO";4;4;4;4;4;4;4;4;4;4;4;4
"230390 CHAVAL";2;2;2;2;2;2;2;2;2;2;2;2
"230400 COREAU";4;4;4;4;4;4;4;4;4;4;4;4
"230410 CRATEUS";5;5;5;5;5;5;5;5;5;5;5;5
"230420 CRATO";7;7;7;7;7;7;7;7;7;7;7;7
"230430 FARIAS BRITO";2;2;2;2;2;2;2;2;2;2;2;2
"230440 FORTALEZA";84;83;84;84;85;87;87;85;85;85;85;85
"230445 FORTIM";4;4;4;4;4;4;4;4;4;4;4;4
"230450 FRECHEIRINHA";2;2;2;2;2;2;2;2;2;2;2;2
"230460 GENERAL SAMPAIO";3;3;3;3;3;3;3;3;3;3;3;3
"230470 GRANJA";1;1;1;1;1;1;1;1;1;1;1;1
"230480 GRANJEIRO";5;5;5;5;5;5;5;5;5;5;5;5
"230520 HIDROLANDIA";2;2;2;2;2;2;2;2;2;2;2;2
"230523 HORIZONTE";3;3;3;3;3;3;3;3;3;3;3;3
"230533 IBICUITINGA";2;2;2;2;2;2;2;2;2;2;2;2
"230540 ICO";2;2;2;2;2;2;2;2;2;2;2;2
"230550 IGUATU";1;1;1;1;1;1;1;1;1;1;1;1
"230580 IPU";2;2;2;2;2;2;2;2;2;2;2;2
"230660 ITATIRA";2;2;2;2;2;2;2;2;2;2;2;2
"230670 JAGUARETAMA";2;2;2;2;2;2;2;2;2;2;2;2
"230725 JIJOCA DE JERICOACOARA";1;1;1;1;1;1;1;1;1;1;1;1
"230730 JUAZEIRO DO NORTE";10;10;10;10;10;10;10;10;10;10;10;10
"230740 JUCAS";6;6;6;6;6;6;6;6;6;6;6;6
"230750 LAVRAS DA MANGABEIRA";2;2;2;2;2;2;2;2;2;2;2;2
"230760 LIMOEIRO DO NORTE";2;2;2;2;2;2;2;2;2;2;2;2
"230765 MARACANAU";8;8;8;8;8;8;8;8;8;8;8;8
"230770 MARANGUAPE";5;5;5;5;5;5;5;5;5;5;5;5
"230800 MASSAPE";2;2;2;2;2;2;2;2;2;2;2;2
"230820 MERUOCA";2;2;2;2;2;2;2;2;2;2;2;2
"230900 MUCAMBO";2;2;2;2;2;2;2;2;2;2;2;2
"230950 OROS";1;1;1;1;1;1;1;1;1;1;1;1
"231020 PARACURU";3;3;3;3;3;3;3;3;3;3;3;3
"231030 PARAMBU";14;14;14;14;14;14;14;14;14;14;14;14
"231050 PEDRA BRANCA";5;5;5;5;5;5;5;5;5;20;20;20
"231060 PENAFORTE";4;4;4;4;4;4;4;4;4;4;4;4
"231070 PENTECOSTE";2;2;2;2;2;2;2;2;2;2;2;2
"231090 PIQUET CARNEIRO";8;8;8;8;8;8;8;8;8;8;8;8
"231095 PIRES FERREIRA";2;2;2;2;2;2;2;2;2;2;2;2
"231120 POTENGI";2;2;2;2;2;2;2;2;2;2;2;2
"231130 QUIXADA";15;15;15;15;15;15;15;15;15;15;15;15
"231140 QUIXERAMOBIM";2;2;2;2;2;2;2;2;2;2;2;2
"231160 REDENCAO";10;10;10;10;10;10;10;10;10;10;10;10
"231170 RERIUTABA";-;-;-;1;1;1;1;1;1;1;-;-
"231180 RUSSAS";1;1;1;1;1;1;1;1;1;1;1;1
"231190 SABOEIRO";2;2;2;2;2;2;2;2;2;2;2;2
"231230 SAO BENEDITO";1;1;1;1;1;1;1;1;1;1;1;1
"231280 SENADOR SA";3;3;3;3;3;3;3;3;3;3;3;3
"231290 SOBRAL";17;17;10;10;10;10;10;10;10;10;10;10
"231300 SOLONOPOLE";3;3;3;3;3;3;3;3;3;3;3;3
"231330 TAUA";3;3;3;3;3;3;3;3;3;3;3;3
"231340 TIANGUA";-;-;-;-;-;-;-;-;10;10;10;10
"231350 TRAIRI";3;3;3;3;3;3;3;3;3;3;3;3
"231360 UBAJARA";2;2;2;2;2;2;2;2;2;2;2;2
"231400 VARZEA ALEGRE";7;7;7;7;7;7;7;7;7;7;7;7
"240030 AFONSO BEZERRA";2;2;2;2;2;2;2;2;2;2;2;2
"240145 BARAUNA";4;4;4;4;4;4;4;4;4;4;4;4
"240160 BENTO FERNANDES";5;5;5;5;5;5;5;5;5;5;5;5
"240165 BODO";4;4;4;4;4;4;4;4;4;4;4;4
"240170 BOM JESUS";1;1;1;1;1;1;1;1;1;1;1;1
"240185 CAICARA DO NORTE";2;2;2;2;2;2;2;2;2;2;2;2
"240190 CAICARA DO RIO DO VENTO";3;3;3;3;3;3;3;3;3;3;3;3
"240230 CARAUBAS";1;1;1;1;1;1;1;1;1;1;1;1
"240240 CARNAUBA DOS DANTAS";3;3;3;3;3;3;3;3;3;3;3;3
"240310 CURRAIS NOVOS";3;3;3;3;3;3;3;3;3;3;3;3
"240325 PARNAMIRIM";3;3;3;3;3;3;3;3;3;3;3;3
"240380 FLORANIA";2;2;2;2;2;2;2;2;2;2;2;2
"240400 FRUTUOSO GOMES";1;1;1;1;1;1;1;1;1;1;1;1
"240420 GOIANINHA";6;6;6;6;6;6;6;6;6;6;6;6
"240460 IELMO MARINHO";1;1;1;1;1;1;1;1;1;1;1;1
"240520 JANDUIS";4;4;4;4;4;4;4;4;4;4;4;4
"240530 JANUARIO CICCO";2;2;2;2;2;2;2;2;2;2;2;2
"240550 JARDIM DE ANGICOS";1;1;1;1;1;1;1;1;1;1;1;1
"240570 JARDIM DO SERIDO";10;10;10;10;10;10;10;10;10;10;10;10
"240580 JOAO CAMARA";5;5;5;5;5;5;5;5;5;5;5;5
"240590 JOAO DIAS";4;4;4;4;4;4;4;4;4;4;4;4
"240630 LAGOA DE PEDRAS";5;5;5;5;5;5;5;5;5;5;5;5
"240670 LAJES";6;6;6;6;6;6;6;6;6;6;6;6
"240710 MACAIBA";1;1;1;1;1;1;1;1;1;1;1;1
"240740 MARTINS";3;3;3;3;3;3;3;3;3;3;3;3
"240810 NATAL";4;4;4;4;4;4;4;4;4;4;4;4
"240820 NISIA FLORESTA";2;2;2;2;2;2;2;2;2;2;2;2
"240860 PARANA";1;1;1;1;1;1;1;1;1;1;1;1
"240880 PARAZINHO";2;2;2;2;2;2;2;2;2;2;2;2
"240910 PASSA E FICA";-;-;-;-;-;-;4;4;4;4;4;4
"240980 PEDRO VELHO";3;3;3;3;3;3;3;3;3;3;3;3
"241000 PILOES";2;2;2;2;2;2;2;2;2;2;2;2
"241025 PORTO DO MANGUE";2;2;2;2;2;2;2;2;2;2;2;2
"241030 SERRA CAIADA";4;4;4;4;4;4;4;4;4;4;4;4
"241060 RAFAEL GODEIRO";2;2;2;2;2;2;2;2;2;2;2;2
"241080 RIACHO DE SANTANA";2;2;2;2;2;2;2;2;2;2;2;2
"241105 TIBAU";3;3;3;3;3;3;3;3;3;3;3;3
"241170 SAO BENTO DO TRAIRI";5;5;5;5;5;5;5;5;5;5;5;5
"241200 SAO GONCALO DO AMARANTE";4;4;4;4;4;4;4;4;4;4;4;4
"241220 SAO JOSE DE MIPIBU";1;1;1;1;1;1;1;1;1;1;1;1
"241240 SAO JOSE DO SERIDO";6;6;6;6;6;6;6;6;6;6;6;6
"241250 SAO MIGUEL";3;3;3;3;3;3;3;3;3;3;3;3
"241300 SAO VICENTE";3;3;3;3;3;3;3;3;3;3;3;3
"241370 SITIO NOVO";3;3;3;3;3;3;3;3;3;3;3;3
"241410 TENENTE ANANIAS";1;1;1;1;1;1;1;1;1;1;1;1
"241460 UPANEMA";3;3;3;3;3;3;3;3;3;3;3;3
"250010 AGUA BRANCA";1;1;1;1;1;1;1;1;1;1;1;1
"250020 AGUIAR";2;2;2;2;2;2;2;2;2;2;2;2
"250030 ALAGOA GRANDE";2;2;2;2;2;2;2;2;2;2;2;2
"250040 ALAGOA NOVA";10;10;10;10;10;10;10;10;10;10;10;10
"250070 SAO JOAO DO RIO DO PEIXE";5;5;5;5;5;5;5;5;5;5;5;5
"250073 AMPARO";2;2;2;2;2;2;2;2;2;2;2;2
"250080 ARACAGI";2;2;2;2;2;2;2;2;2;2;2;2
"250130 AROEIRAS";2;2;2;2;2;2;2;2;2;2;2;2
"250150 BANANEIRAS";-;-;-;-;-;4;4;4;4;4;4;4
"250180 BAYEUX";5;5;5;5;5;5;5;5;5;5;5;5
"250190 BELEM";2;2;2;2;2;2;2;2;2;2;2;2
"250200 BELEM DO BREJO DO CRUZ";3;3;3;3;3;3;3;3;3;3;3;3
"250205 BERNARDINO BATISTA";2;2;2;2;2;2;2;2;2;2;2;2
"250215 BOA VISTA";2;2;2;2;2;2;2;2;2;2;2;2
"250230 BOM SUCESSO";1;1;1;1;1;1;1;1;1;1;1;1
"250260 IGARACY";6;6;6;6;6;6;6;6;6;6;6;6
"250370 CAJAZEIRAS";-;50;50;50;50;50;50;50;50;50;50;50
"250375 CAJAZEIRINHAS";2;2;2;2;2;2;2;2;2;2;2;2
"250390 CAMALAU";5;5;5;5;5;5;5;5;5;5;5;5
"250400 CAMPINA GRANDE";46;46;46;46;46;46;46;46;47;47;47;47
"250407 CARAUBAS";2;2;2;2;2;2;2;2;2;2;2;2
"250440 CONCEICAO";2;2;2;2;2;2;2;2;2;2;2;2
"250470 CONGO";1;1;1;1;1;1;1;1;1;1;1;1
"250480 COREMAS";3;3;3;3;3;3;3;3;3;3;3;3
"250490 CRUZ DO ESPIRITO SANTO";3;3;3;3;3;3;3;3;3;3;3;3
"250510 CUITE";2;2;2;2;2;2;2;2;2;2;2;2
"250540 DESTERRO";3;3;3;3;3;3;3;3;3;3;3;3
"250570 DONA INES";2;2;2;2;2;2;2;2;2;2;2;2
"250600 ESPERANCA";2;2;2;2;2;2;2;2;2;2;2;2
"250630 GUARABIRA";1;1;1;1;1;1;1;1;1;1;1;1
"250680 INGA";3;3;3;3;3;3;3;3;3;3;3;3
"250690 ITABAIANA";3;3;3;3;3;3;3;3;3;3;3;3
