CNES - Recursos Físicos - Ambulatório - Consultórios - Brasil
Clin.Especializada por Município
Período:Jul/2024
"Município";"Clin.Especializada"
"150720 SAO DOMINGOS DO CAPIM";20
"150730 SAO FELIX DO XINGU";6
"150740 SAO FRANCISCO DO PARA";4
"150745 SAO GERALDO DO ARAGUAIA";12
"150747 SAO JOAO DE PIRABAS";5
"150750 SAO JOAO DO ARAGUAIA";2
"150760 SAO MIGUEL DO GUAMA";17
"150795 TAILANDIA";13
"150797 TERRA SANTA";5
"150800 TOME-ACU";10
"150803 TRACUATEUA";7
"150805 TRAIRAO";1
"150808 TUCUMA";25
"150810 TUCURUI";69
"150812 ULIANOPOLIS";2
"150815 URUARA";1
"150820 VIGIA";7
"150830 VISEU";19
"150835 VITORIA DO XINGU";5
"150840 XINGUARA";28
"160010 AMAPA";14
"160015 PEDRA BRANCA DO AMAPARI";6
"160020 CALCOENE";1
"160027 LARANJAL DO JARI";11
"160030 MACAPA";315
"160040 MAZAGAO";3
"160050 OIAPOQUE";5
"160053 PORTO GRANDE";4
"160060 SANTANA";49
"160070 TARTARUGALZINHO";3
"170070 ALVORADA";6
"170200 ARAGUACU";2
"170210 ARAGUAINA";81
"170230 ARAPOEMA";3
"170255 AUGUSTINOPOLIS";12
"170310 BARROLANDIA";1
"170389 CARRASCO BONITO";1
"170550 COLINAS DO TOCANTINS";19
"170555 COMBINADO";1
"170625 CRIXAS DO TOCANTINS";1
"170700 DIANOPOLIS";7
"170820 FORMOSO DO ARAGUAIA";11
"170825 FORTALEZA DO TABOCAO";2
"170900 GOIATINS";2
"170930 GUARAI";12
"170950 GURUPI";273
"171150 JAU DO TOCANTINS";1
"171180 JUARINA";1
"171320 MIRACEMA DO TOCANTINS";12
"171510 NOVO ACORDO";1
"171515 NOVO ALEGRE";1
"171575 PALMEIROPOLIS";1
"171610 PARAISO DO TOCANTINS";32
"171650 PEDRO AFONSO";2
"171660 PEIXE";1
"171670 COLMEIA";3
"171820 PORTO NACIONAL";48
"171845 PUGMIL";1
"172010 SAO BENTO DO TOCANTINS";3
"172020 SAO MIGUEL DO TOCANTINS";3
"172065 SILVANOPOLIS";7
"172090 TAGUATINGA";3
"172100 PALMAS";583
"172120 TOCANTINOPOLIS";2
"210005 ACAILANDIA";83
"210015 AGUA DOCE DO MARANHAO";1
"210020 ALCANTARA";2
"210030 ALDEIAS ALTAS";3
"210043 ALTO ALEGRE DO MARANHAO";10
"210047 ALTO ALEGRE DO PINDARE";2
"210050 ALTO PARNAIBA";4
"210060 AMARANTE DO MARANHAO";8
"210070 ANAJATUBA";3
"210080 ANAPURUS";1
"210100 ARARI";2
"210120 BACABAL";30
"210125 BACABEIRA";2
"210140 BALSAS";105
"210150 BARAO DE GRAJAU";2
"210160 BARRA DO CORDA";9
"210170 BARREIRINHAS";18
"210203 BOM JESUS DAS SELVAS";1
"210207 BOM LUGAR";2
"210220 BURITI";2
"210232 BURITICUPU";16
"210255 CAMPESTRE DO MARANHAO";1
"210275 CAPINZAL DO NORTE";1
"210280 CAROLINA";2
"210290 CARUTAPERA";5
"210300 CAXIAS";147
"210312 CENTRAL DO MARANHAO";1
"210315 CENTRO DO GUILHERME";2
"210320 CHAPADINHA";15
"210325 CIDELANDIA";2
"210330 CODO";20
"210340 COELHO NETO";33
"210350 COLINAS";9
"210360 COROATA";19
"210370 CURURUPU";4
"210375 DAVINOPOLIS";6
"210380 DOM PEDRO";5
"210390 DUQUE BACELAR";2
"210400 ESPERANTINOPOLIS";1
"210405 ESTREITO";9
"210407 FEIRA NOVA DO MARANHAO";1
"210409 FORMOSA DA SERRA NEGRA";5
"210420 FORTUNA";1
"210430 GODOFREDO VIANA";2
"210450 GOVERNADOR ARCHER";1
"210455 GOVERNADOR EDISON LOBAO";1
"210467 GOVERNADOR NUNES FREIRE";1
"210480 GRAJAU";16
"210490 GUIMARAES";1
"210500 HUMBERTO DE CAMPOS";1
"210510 ICATU";1
"210515 IGARAPE DO MEIO";2
"210520 IGARAPE GRANDE";1
"210530 IMPERATRIZ";455
"210540 ITAPECURU MIRIM";14
"210545 JATOBA";1
"210550 JOAO LISBOA";8
"210560 JOSELANDIA";3
"210570 LAGO DA PEDRA";23
"210592 LAGOA DO MATO";1
"210594 LAGO DOS RODRIGUES";4
"210596 LAGOA GRANDE DO MARANHAO";1
"210600 LIMA CAMPOS";2
"210632 MARACACUME";4
"210635 MARAJA DO SENA";2
"210637 MARANHAOZINHO";2
"210640 MATA ROMA";1
"210650 MATINHA";3
"210660 MATOES";7
"210663 MATOES DO NORTE";9
"210670 MIRADOR";1
"210675 MIRANDA DO NORTE";4
"210680 MIRINZAL";1
"210690 MONCAO";3
"210700 MONTES ALTOS";1
"210710 MORROS";2
"210735 NOVA OLINDA DO MARANHAO";3
"210740 OLHO D'AGUA DAS CUNHAS";3
"210745 OLINDA NOVA DO MARANHAO";2
"210750 PACO DO LUMIAR";36
"210760 PALMEIRANDIA";4
"210780 PARNARAMA";16
"210790 PASSAGEM FRANCA";6
"210800 PASTOS BONS";10
"210810 PAULO RAMOS";5
"210820 PEDREIRAS";38
"210825 PEDRO DO ROSARIO";1
"210830 PENALVA";3
"210840 PERI MIRIM";2
"210845 PERITORO";1
"210860 PINHEIRO";22
"210870 PIO XII";1
"210880 PIRAPEMAS";6
"210890 POCAO DE PEDRAS";2
"210900 PORTO FRANCO";4
"210910 PRESIDENTE DUTRA";45
"210923 PRESIDENTE MEDICI";1
"210940 PRIMEIRA CRUZ";1
"210945 RAPOSA";2
"210950 RIACHAO";1
"210960 ROSARIO";16
"210980 SANTA HELENA";4
"210990 SANTA INES";71
"211000 SANTA LUZIA";7
"211003 SANTA LUZIA DO PARUA";2
"211020 SANTA RITA";4
"211023 SANTANA DO MARANHAO";15
"211030 SANTO ANTONIO DOS LOPES";5
"211040 SAO BENEDITO DO RIO PRETO";3
"211050 SAO BENTO";4
"211060 SAO BERNARDO";3
"211070 SAO DOMINGOS DO MARANHAO";5
"211090 SAO FRANCISCO DO MARANHAO";6
"211100 SAO JOAO BATISTA";2
"211102 SAO JOAO DO CARU";2
"211105 SAO JOAO DO PARAISO";1
"211107 SAO JOAO DO SOTER";8
"211110 SAO JOAO DOS PATOS";9
"211120 SAO JOSE DE RIBAMAR";78
"211125 SAO JOSE DOS BASILIOS";1
"211130 SAO LUIS";1561
"211140 SAO LUIS GONZAGA DO MARANHAO";6
"211150 SAO MATEUS DO MARANHAO";8
"211157 SAO PEDRO DOS CRENTES";1
"211170 SAO VICENTE FERRER";7
"211176 SENADOR LA ROCQUE";3
"211178 SERRANO DO MARANHAO";2
"211180 SITIO NOVO";5
"211195 SUCUPIRA DO RIACHAO";1
"211210 TIMBIRAS";2
"211220 TIMON";75
"211227 TUFILANDIA";1
"211230 TUNTUM";5
"211240 TURIACU";1
"211245 TURILANDIA";2
"211250 TUTOIA";7
"211270 VARGEM GRANDE";9
"211280 VIANA";8
"211285 VILA NOVA DOS MARTIRIOS";1
"211290 VITORIA DO MEARIM";1
"211300 VITORINO FREIRE";13
"211400 ZE DOCA";12
"220010 AGRICOLANDIA";4
"220020 AGUA BRANCA";15
"220025 ALAGOINHA DO PIAUI";2
"220040 ALTOS";8
"220050 AMARANTE";8
"220060 ANGICAL DO PIAUI";3
"220090 AROAZES";1
"220100 ARRAIAL";3
"220110 AVELINO LOPES";5
"220115 BAIXA GRANDE DO RIBEIRO";2
"220120 BARRAS";28
"220140 BARRO DURO";1
"220150 BATALHA";6
"220155 BELA VISTA DO PIAUI";4
"220157 BELEM DO PIAUI";1
"220160 BENEDITINOS";4
"220180 BOCAINA";3
"220190 BOM JESUS";9
"220192 BONFIM DO PIAUI";1
"220198 BREJO DO PIAUI";2
"220200 BURITI DOS LOPES";18
"220202 BURITI DOS MONTES";1
"220213 CAMPO GRANDE DO PIAUI";5
"220220 CAMPO MAIOR";48
"220230 CANTO DO BURITI";9
"220245 CAPITAO GERVASIO OLIVEIRA";3
"220255 CARIDADE DO PIAUI";1
"220260 CASTELO DO PIAUI";1
"220270 COCAL";1
"220271 COCAL DE TELHA";1
"220277 COLONIA DO PIAUI";1
"220290 CORRENTE";9
"220310 CRISTINO CASTRO";6
"220320 CURIMATA";4
"220330 DEMERVAL LOBAO";4
"220340 DOM EXPEDITO LOPES";2
"220345 DOM INOCENCIO";2
"220350 ELESBAO VELOSO";2
"220360 ELISEU MARTINS";3
"220370 ESPERANTINA";21
"220380 FLORES DO PIAUI";1
"220390 FLORIANO";148
"220410 FRANCISCO AYRES";1
"220420 FRANCISCO SANTOS";4
"220430 FRONTEIRAS";2
"220440 GILBUES";2
"220450 GUADALUPE";8
"220455 GUARIBAS";1
"220465 ILHA GRANDE";5
"220470 INHUMA";7
"220480 IPIRANGA DO PIAUI";6
"220490 ISAIAS COELHO";1
"220510 ITAUEIRA";2
"220515 JACOBINA DO PIAUI";1
"220520 JAICOS";1
"220525 JARDIM DO MULATO";2
"220545 JOCA MARQUES";3
"220550 JOSE DE FREITAS";15
"220552 JULIO BORGES";1
"220557 LAGOA DE SAO FRANCISCO";2
"220570 LUIS CORREIA";5
"220580 LUZILANDIA";2
"220590 MANOEL EMIDIO";3
"220595 MARCOLANDIA";2
"220620 MIGUEL ALVES";11
"220630 MIGUEL LEAO";3
"220640 MONSENHOR GIL";3
"220650 MONSENHOR HIPOLITO";2
"220660 MONTE ALEGRE DO PIAUI";2
"220669 MURICI DOS PORTELAS";2
"220670 NAZARE DO PIAUI";1
"220675 NOSSA SENHORA DE NAZARE";1
"220680 NOSSA SENHORA DOS REMEDIOS";1
"220700 OEIRAS";24
"220730 PAES LANDIM";4
"220740 PALMEIRA DO PIAUI";2
"220750 PALMEIRAIS";1
"220755 PAQUETA";1
"220760 PARNAGUA";5
"220770 PARNAIBA";145
"220775 PASSAGEM FRANCA DO PIAUI";3
"220780 PAULISTANA";6
"220790 PEDRO II";19
"220795 NOVA SANTA RITA";2
"220800 PICOS";395
"220810 PIMENTEIRAS";2
"220820 PIO IX";2
"220830 PIRACURUCA";10
"220840 PIRIPIRI";36
"220850 PORTO";5
"220870 REDENCAO DO GURGUEIA";1
"220880 REGENERACAO";4
"220890 RIBEIRO GONCALVES";2
"220900 RIO GRANDE DO PIAUI";4
"220910 SANTA CRUZ DO PIAUI";3
"220915 SANTA CRUZ DOS MILAGRES";3
"220930 SANTA LUZ";1
"220935 SANTANA DO PIAUI";2
"220937 SANTA ROSA DO PIAUI";2
"220940 SANTO ANTONIO DE LISBOA";2
"220945 SANTO ANTONIO DOS MILAGRES";2
"220950 SANTO INACIO DO PIAUI";1
"220960 SAO FELIX DO PIAUI";1
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";2
"220970 SAO FRANCISCO DO PIAUI";1
"220980 SAO GONCALO DO PIAUI";1
"220985 SAO JOAO DA CANABRAVA";1
"220990 SAO JOAO DA SERRA";1
"220997 SAO JOAO DO ARRAIAL";1
"221000 SAO JOAO DO PIAUI";7
"221010 SAO JOSE DO PEIXE";1
"221030 SAO JULIAO";1
"221037 SAO LUIS DO PIAUI";1
"221038 SAO MIGUEL DA BAIXA GRANDE";3
"221039 SAO MIGUEL DO FIDALGO";2
"221050 SAO PEDRO DO PIAUI";3
"221060 SAO RAIMUNDO NONATO";20
"221065 SIGEFREDO PACHECO";1
"221070 SIMOES";5
"221080 SIMPLICIO MENDES";4
"221090 SOCORRO DO PIAUI";1
"221097 TANQUE DO PIAUI";3
"221100 TERESINA";916
"221110 UNIAO";5
"221120 URUCUI";10
"221130 VALENCA DO PIAUI";18
"221140 VARZEA GRANDE";1
"230010 ABAIARA";13
"230020 ACARAU";48
"230030 ACOPIARA";29
"230040 AIUABA";5
"230050 ALCANTARAS";4
"230060 ALTANEIRA";3
"230070 ALTO SANTO";1
"230075 AMONTADA";1
"230080 ANTONINA DO NORTE";1
"230100 AQUIRAZ";14
"230110 ARACATI";43
"230120 ARACOIABA";9
"230130 ARARIPE";3
"230140 ARATUBA";2
"230160 ASSARE";11
"230170 AURORA";6
"230185 BANABUIU";1
"230190 BARBALHA";75
"230195 BARREIRA";1
"230200 BARRO";2
"230205 BARROQUINHA";3
"230210 BATURITE";26
"230220 BEBERIBE";17
"230230 BELA CRUZ";10
"230240 BOA VIAGEM";11
"230250 BREJO SANTO";86
"230260 CAMOCIM";25
"230270 CAMPOS SALES";22
"230280 CANINDE";58
"230290 CAPISTRANO";3
"230310 CARIRE";4
"230320 CARIRIACU";8
"230330 CARIUS";1
"230340 CARNAUBAL";6
"230350 CASCAVEL";14
"230360 CATARINA";5
"230365 CATUNDA";7
"230370 CAUCAIA";112
"230380 CEDRO";6
"230390 CHAVAL";6
"230393 CHORO";5
"230395 CHOROZINHO";2
"230400 COREAU";2
"230410 CRATEUS";41
"230420 CRATO";189
"230423 CROATA";3
"230425 CRUZ";22
"230428 EUSEBIO";14
"230430 FARIAS BRITO";12
"230435 FORQUILHA";2
"230440 FORTALEZA";4997
"230445 FORTIM";4
"230450 FRECHEIRINHA";14
"230460 GENERAL SAMPAIO";1
"230470 GRANJA";14
"230480 GRANJEIRO";1
"230495 GUAIUBA";10
"230500 GUARACIABA DO NORTE";23
"230520 HIDROLANDIA";2
"230523 HORIZONTE";30
"230526 IBARETAMA";2
"230530 IBIAPINA";2
"230533 IBICUITINGA";2
"230535 ICAPUI";6
"230540 ICO";44
"230550 IGUATU";108
"230560 INDEPENDENCIA";12
"230565 IPAPORANGA";2
"230570 IPAUMIRIM";2
"230580 IPU";5
"230590 IPUEIRAS";13
"230600 IRACEMA";8
"230610 IRAUCUBA";6
"230620 ITAICABA";2
"230625 ITAITINGA";11
"230630 ITAPAGE";15
"230640 ITAPIPOCA";54
"230650 ITAPIUNA";1
"230655 ITAREMA";28
"230660 ITATIRA";2
"230670 JAGUARETAMA";1
"230690 JAGUARIBE";13
"230700 JAGUARUANA";12
"230710 JARDIM";5
"230720 JATI";2
"230725 JIJOCA DE JERICOACOARA";5
"230730 JUAZEIRO DO NORTE";597
"230740 JUCAS";3
"230750 LAVRAS DA MANGABEIRA";4
"230760 LIMOEIRO DO NORTE";59
"230763 MADALENA";4
"230765 MARACANAU";69
"230770 MARANGUAPE";41
"230780 MARCO";6
"230790 MARTINOPOLE";3
"230800 MASSAPE";2
"230810 MAURITI";30
"230820 MERUOCA";2
"230830 MILAGRES";19
"230835 MILHA";2
"230840 MISSAO VELHA";4
"230850 MOMBACA";4
"230870 MORADA NOVA";24
"230880 MORAUJO";5
"230900 MUCAMBO";10
"230910 MULUNGU";3
"230920 NOVA OLINDA";1
"230930 NOVA RUSSAS";7
"230940 NOVO ORIENTE";4
"230950 OROS";5
"230960 PACAJUS";8
"230970 PACATUBA";8
"230980 PACOTI";1
"230990 PACUJA";1
"231000 PALHANO";2
"231020 PARACURU";16
"231025 PARAIPABA";2
"231030 PARAMBU";4
"231050 PEDRA BRANCA";30
"231070 PENTECOSTE";2
"231080 PEREIRO";2
"231085 PINDORETAMA";2
"231090 PIQUET CARNEIRO";7
"231110 PORTEIRAS";4
"231120 POTENGI";10
"231126 QUITERIANOPOLIS";8
"231130 QUIXADA";134
"231135 QUIXELO";3
"231140 QUIXERAMOBIM";31
"231150 QUIXERE";15
"231160 REDENCAO";9
"231170 RERIUTABA";5
"231180 RUSSAS";39
"231195 SALITRE";1
"231200 SANTANA DO ACARAU";5
"231210 SANTANA DO CARIRI";2
"231220 SANTA QUITERIA";5
"231230 SAO BENEDITO";17
"231240 SAO GONCALO DO AMARANTE";21
"231260 SAO LUIS DO CURU";1
"231270 SENADOR POMPEU";12
"231280 SENADOR SA";1
"231290 SOBRAL";378
"231300 SOLONOPOLE";19
"231310 TABULEIRO DO NORTE";11
"231320 TAMBORIL";2
"231330 TAUA";33
"231335 TEJUCUOCA";2
"231340 TIANGUA";48
"231350 TRAIRI";7
"231360 UBAJARA";8
"231375 UMIRIM";2
"231380 URUBURETAMA";3
"231390 URUOCA";2
"231395 VARJOTA";5
"231400 VARZEA ALEGRE";11
"231410 VICOSA DO CEARA";28
"240010 ACARI";5
"240020 ACU";34
"240050 ALEXANDRIA";48
"240070 ALTO DO RODRIGUES";10
"240080 ANGICOS";4
"240090 ANTONIO MARTINS";1
"240100 APODI";26
"240110 AREIA BRANCA";8
"240120 ARES";2
"240140 BAIA FORMOSA";5
"240145 BARAUNA";8
"240150 BARCELONA";1
"240180 BREJINHO";11
"240185 CAICARA DO NORTE";2
"240190 CAICARA DO RIO DO VENTO";1
"240200 CAICO";127
"240210 CAMPO REDONDO";4
"240220 CANGUARETAMA";8
"240230 CARAUBAS";10
"240250 CARNAUBAIS";3
"240260 CEARA-MIRIM";34
"240300 CRUZETA";3
"240310 CURRAIS NOVOS";125
"240320 DOUTOR SEVERIANO";5
"240325 PARNAMIRIM";136
"240360 EXTREMOZ";10
"240370 FELIPE GUERRA";3
"240380 FLORANIA";2
"240390 FRANCISCO DANTAS";1
"240400 FRUTUOSO GOMES";17
"240420 GOIANINHA";22
"240450 GUAMARE";11
"240460 IELMO MARINHO";4
"240470 IPANGUACU";3
"240480 IPUEIRA";3
"240485 ITAJA";4
"240490 ITAU";1
"240560 JARDIM DE PIRANHAS";5
"240570 JARDIM DO SERIDO";3
"240580 JOAO CAMARA";33
"240600 JOSE DA PENHA";4
"240610 JUCURUTU";1
"240615 JUNDIA";2
"240640 LAGOA DE VELHOS";1
"240650 LAGOA NOVA";4
"240670 LAJES";7
"240680 LAJES PINTADAS";4
"240690 LUCRECIA";2
"240700 LUIS GOMES";4
"240710 MACAIBA";33
"240720 MACAU";20
"240730 MARCELINO VIEIRA";5
"240740 MARTINS";3
"240750 MAXARANGUAPE";1
"240780 MONTE ALEGRE";2
"240790 MONTE DAS GAMELEIRAS";1
"240800 MOSSORO";470
"240810 NATAL";1677
"240820 NISIA FLORESTA";3
"240830 NOVA CRUZ";17
"240840 OLHO-D'AGUA DO BORGES";6
"240850 OURO BRANCO";1
"240880 PARAZINHO";3
"240890 PARELHAS";22
"240910 PASSA E FICA";4
"240930 PATU";8
"240933 SANTA MARIA";4
"240940 PAU DOS FERROS";132
"240950 PEDRA GRANDE";2
"240960 PEDRA PRETA";1
"240970 PEDRO AVELINO";3
"240980 PEDRO VELHO";1
"240990 PENDENCIAS";4
"241000 PILOES";2
"241010 POCO BRANCO";6
"241020 PORTALEGRE";2
"241030 SERRA CAIADA";2
"241040 PUREZA";2
"241050 RAFAEL FERNANDES";1
"241080 RIACHO DE SANTANA";2
"241090 RIACHUELO";7
"241105 TIBAU";6
"241110 RUY BARBOSA";2
"241120 SANTA CRUZ";36
"241140 SANTANA DO MATOS";1
"241150 SANTO ANTONIO";16
"241200 SAO GONCALO DO AMARANTE";74
"241220 SAO JOSE DE MIPIBU";9
"241230 SAO JOSE DO CAMPESTRE";4
"241240 SAO JOSE DO SERIDO";3
"241250 SAO MIGUEL";9
"241255 SAO MIGUEL DO GOSTOSO";1
"241260 SAO PAULO DO POTENGI";30
"241280 SAO RAFAEL";2
"241290 SAO TOME";3
"241300 SAO VICENTE";3
"241320 SENADOR GEORGINO AVELINO";2
"241330 SERRA DE SAO BENTO";3
"241335 SERRA DO MEL";5
"241340 SERRA NEGRA DO NORTE";1
"241350 SERRINHA";1
"241355 SERRINHA DOS PINTOS";1
"241360 SEVERIANO MELO";4
"241380 TABOLEIRO GRANDE";2
"241390 TAIPU";1
"241400 TANGARA";4
"241410 TENENTE ANANIAS";17
"241415 TENENTE LAURENTINO CRUZ";2
"241420 TIBAU DO SUL";2
"241430 TIMBAUBA DOS BATISTAS";1
"241440 TOUROS";17
"241450 UMARIZAL";2
"241460 UPANEMA";7
"241475 VENHA-VER";3
"241480 VERA CRUZ";7
"241490 VICOSA";1
"241500 VILA FLOR";1
"250010 AGUA BRANCA";9
"250020 AGUIAR";4
"250030 ALAGOA GRANDE";17
"250040 ALAGOA NOVA";9
"250050 ALAGOINHA";6
"250053 ALCANTIL";4
"250060 ALHANDRA";6
"250070 SAO JOAO DO RIO DO PEIXE";5
"250077 APARECIDA";1
"250080 ARACAGI";10
"250090 ARARA";2
"250100 ARARUNA";15
"250110 AREIA";3
"250130 AROEIRAS";1
"250135 ASSUNCAO";1
"250140 BAIA DA TRAICAO";1
"250150 BANANEIRAS";23
"250153 BARAUNA";5
"250157 BARRA DE SANTANA";2
"250160 BARRA DE SANTA ROSA";2
"250170 BARRA DE SAO MIGUEL";4
"250180 BAYEUX";28
"250190 BELEM";18
"250200 BELEM DO BREJO DO CRUZ";5
"250205 BERNARDINO BATISTA";3
"250210 BOA VENTURA";2
"250215 BOA VISTA";3
"250220 BOM JESUS";1
"250230 BOM SUCESSO";2
"250250 BOQUEIRAO";8
"250260 IGARACY";4
"250280 BREJO DO CRUZ";9
"250290 BREJO DOS SANTOS";3
"250300 CAAPORA";11
"250310 CABACEIRAS";1
"250320 CABEDELO";44
"250330 CACHOEIRA DOS INDIOS";7
"250340 CACIMBA DE AREIA";3
"250350 CACIMBA DE DENTRO";4
"250355 CACIMBAS";3
"250360 CAICARA";2
"250370 CAJAZEIRAS";125
"250375 CAJAZEIRINHAS";2
"250390 CAMALAU";1
"250400 CAMPINA GRANDE";719
"250403 CAPIM";1
"250410 CARRAPATEIRA";1
"250415 CASSERENGUE";1
"250420 CATINGUEIRA";8
"250430 CATOLE DO ROCHA";22
"250435 CATURITE";2
"250440 CONCEICAO";19
"250450 CONDADO";4
"250460 CONDE";33
