CNES - Recursos Físicos - Urgência - Leitos de Repouso / Observação - Brasil
Leitos Repouso/Observação Indif por Município
Período:Jul/2024
"Município";"Leitos_Repouso/Observação_Indif"
"150835 VITORIA DO XINGU";5
"150840 XINGUARA";3
"160005 SERRA DO NAVIO";2
"160010 AMAPA";2
"160015 PEDRA BRANCA DO AMAPARI";5
"160020 CALCOENE";1
"160025 ITAUBAL";1
"160027 LARANJAL DO JARI";6
"160030 MACAPA";67
"160050 OIAPOQUE";3
"160060 SANTANA";30
"160070 TARTARUGALZINHO";1
"160080 VITORIA DO JARI";2
"170040 ALMAS";5
"170210 ARAGUAINA";46
"170220 ARAGUATINS";2
"170230 ARAPOEMA";4
"170240 ARRAIAS";2
"170255 AUGUSTINOPOLIS";15
"170300 BABACULANDIA";4
"170370 BREJINHO DE NAZARE";2
"170389 CARRASCO BONITO";1
"170555 COMBINADO";11
"170700 DIANOPOLIS";3
"170720 DOIS IRMAOS DO TOCANTINS";2
"170730 DUERE";3
"170820 FORMOSO DO ARAGUAIA";10
"170950 GURUPI";40
"171190 LAGOA DA CONFUSAO";5
"171215 LAVANDEIRA";2
"171320 MIRACEMA DO TOCANTINS";6
"171515 NOVO ALEGRE";3
"171610 PARAISO DO TOCANTINS";12
"171620 PARANA";1
"171650 PEDRO AFONSO";4
"171700 PINDORAMA DO TOCANTINS";3
"171855 RIACHINHO";3
"172010 SAO BENTO DO TOCANTINS";2
"172025 SAO SALVADOR DO TOCANTINS";6
"172065 SILVANOPOLIS";2
"172090 TAGUATINGA";4
"172100 PALMAS";91
"172120 TOCANTINOPOLIS";7
"210005 ACAILANDIA";16
"210020 ALCANTARA";12
"210030 ALDEIAS ALTAS";3
"210043 ALTO ALEGRE DO MARANHAO";11
"210060 AMARANTE DO MARANHAO";2
"210083 APICUM-ACU";2
"210087 ARAGUANA";1
"210090 ARAIOSES";1
"210100 ARARI";3
"210120 BACABAL";3
"210125 BACABEIRA";7
"210130 BACURI";2
"210140 BALSAS";34
"210160 BARRA DO CORDA";2
"210170 BARREIRINHAS";3
"210177 BELA VISTA DO MARANHAO";1
"210180 BENEDITO LEITE";3
"210193 BERNARDO DO MEARIM";3
"210197 BOA VISTA DO GURUPI";3
"210203 BOM JESUS DAS SELVAS";1
"210210 BREJO";1
"210232 BURITICUPU";6
"210240 CAJAPIO";5
"210250 CAJARI";3
"210255 CAMPESTRE DO MARANHAO";1
"210270 CANTANHEDE";1
"210275 CAPINZAL DO NORTE";1
"210280 CAROLINA";7
"210290 CARUTAPERA";9
"210300 CAXIAS";6
"210312 CENTRAL DO MARANHAO";1
"210320 CHAPADINHA";12
"210330 CODO";14
"210340 COELHO NETO";7
"210350 COLINAS";3
"210355 CONCEICAO DO LAGO-ACU";8
"210360 COROATA";12
"210370 CURURUPU";4
"210375 DAVINOPOLIS";6
"210390 DUQUE BACELAR";1
"210407 FEIRA NOVA DO MARANHAO";1
"210408 FERNANDO FALCAO";3
"210420 FORTUNA";1
"210462 GOVERNADOR LUIZ ROCHA";1
"210465 GOVERNADOR NEWTON BELLO";3
"210470 GRACA ARANHA";1
"210480 GRAJAU";6
"210490 GUIMARAES";2
"210530 IMPERATRIZ";90
"210535 ITAIPAVA DO GRAJAU";3
"210545 JATOBA";3
"210547 JENIPAPO DOS VIEIRAS";3
"210560 JOSELANDIA";1
"210565 JUNCO DO MARANHAO";4
"210570 LAGO DA PEDRA";1
"210580 LAGO DO JUNCO";3
"210590 LAGO VERDE";3
"210594 LAGO DOS RODRIGUES";1
"210596 LAGOA GRANDE DO MARANHAO";5
"210630 MAGALHAES DE ALMEIDA";1
"210637 MARANHAOZINHO";4
"210650 MATINHA";2
"210663 MATOES DO NORTE";3
"210670 MIRADOR";3
"210675 MIRANDA DO NORTE";5
"210680 MIRINZAL";3
"210700 MONTES ALTOS";3
"210710 MORROS";4
"210720 NINA RODRIGUES";1
"210725 NOVA COLINAS";1
"210730 NOVA IORQUE";2
"210735 NOVA OLINDA DO MARANHAO";3
"210740 OLHO D'AGUA DAS CUNHAS";3
"210745 OLINDA NOVA DO MARANHAO";2
"210750 PACO DO LUMIAR";21
"210760 PALMEIRANDIA";2
"210770 PARAIBANO";2
"210800 PASTOS BONS";2
"210805 PAULINO NEVES";4
"210810 PAULO RAMOS";1
"210820 PEDREIRAS";1
"210825 PEDRO DO ROSARIO";2
"210830 PENALVA";4
"210840 PERI MIRIM";2
"210845 PERITORO";6
"210860 PINHEIRO";1
"210880 PIRAPEMAS";2
"210900 PORTO FRANCO";8
"210910 PRESIDENTE DUTRA";5
"210920 PRESIDENTE JUSCELINO";3
"210923 PRESIDENTE MEDICI";5
"210927 PRESIDENTE SARNEY";3
"210940 PRIMEIRA CRUZ";3
"210945 RAPOSA";2
"210950 RIACHAO";1
"210980 SANTA HELENA";2
"210990 SANTA INES";22
"211000 SANTA LUZIA";3
"211010 SANTA QUITERIA DO MARANHAO";4
"211020 SANTA RITA";2
"211023 SANTANA DO MARANHAO";4
"211027 SANTO AMARO DO MARANHAO";1
"211050 SAO BENTO";3
"211060 SAO BERNARDO";1
"211102 SAO JOAO DO CARU";5
"211105 SAO JOAO DO PARAISO";3
"211110 SAO JOAO DOS PATOS";10
"211120 SAO JOSE DE RIBAMAR";18
"211130 SAO LUIS";144
"211153 SAO PEDRO DA AGUA BRANCA";1
"211157 SAO PEDRO DOS CRENTES";2
"211163 SAO RAIMUNDO DO DOCA BEZERRA";3
"211170 SAO VICENTE FERRER";2
"211174 SENADOR ALEXANDRE COSTA";3
"211178 SERRANO DO MARANHAO";4
"211180 SITIO NOVO";3
"211195 SUCUPIRA DO RIACHAO";3
"211200 TASSO FRAGOSO";2
"211210 TIMBIRAS";4
"211220 TIMON";20
"211227 TUFILANDIA";2
"211230 TUNTUM";2
"211240 TURIACU";2
"211260 URBANO SANTOS";1
"211280 VIANA";3
"211285 VILA NOVA DOS MARTIRIOS";1
"211290 VITORIA DO MEARIM";2
"220005 ACAUA";1
"220040 ALTOS";1
"220050 AMARANTE";1
"220120 BARRAS";1
"220170 BERTOLINIA";1
"220180 BOCAINA";3
"220209 CALDEIRAO GRANDE DO PIAUI";1
"220220 CAMPO MAIOR";11
"220225 CANAVIEIRA";2
"220270 COCAL";2
"220300 CRISTALANDIA DO PIAUI";1
"220350 ELESBAO VELOSO";3
"220390 FLORIANO";26
"220430 FRONTEIRAS";1
"220480 IPIRANGA DO PIAUI";2
"220515 JACOBINA DO PIAUI";1
"220520 JAICOS";4
"220550 JOSE DE FREITAS";3
"220553 JUREMA";2
"220560 LANDRI SALES";2
"220570 LUIS CORREIA";6
"220590 MANOEL EMIDIO";2
"220700 OEIRAS";6
"220720 PADRE MARCOS";2
"220730 PAES LANDIM";1
"220770 PARNAIBA";12
"220780 PAULISTANA";6
"220800 PICOS";15
"220820 PIO IX";12
"220830 PIRACURUCA";1
"220840 PIRIPIRI";13
"220860 PRATA DO PIAUI";1
"220880 REGENERACAO";1
"220955 SAO BRAZ DO PIAUI";1
"221000 SAO JOAO DO PIAUI";12
"221010 SAO JOSE DO PEIXE";1
"221060 SAO RAIMUNDO NONATO";8
"221070 SIMOES";1
"221080 SIMPLICIO MENDES";2
"221090 SOCORRO DO PIAUI";1
"221100 TERESINA";87
"230020 ACARAU";1
"230100 AQUIRAZ";3
"230110 ARACATI";16
"230120 ARACOIABA";2
"230140 ARATUBA";2
"230160 ASSARE";1
"230185 BANABUIU";2
"230190 BARBALHA";27
"230195 BARREIRA";2
"230220 BEBERIBE";23
"230250 BREJO SANTO";3
"230260 CAMOCIM";11
"230270 CAMPOS SALES";3
"230280 CANINDE";8
"230300 CARIDADE";6
"230310 CARIRE";3
"230320 CARIRIACU";1
"230340 CARNAUBAL";3
"230350 CASCAVEL";9
"230370 CAUCAIA";30
"230393 CHORO";2
"230395 CHOROZINHO";2
"230410 CRATEUS";3
"230420 CRATO";8
"230423 CROATA";3
"230440 FORTALEZA";477
"230445 FORTIM";1
"230465 GRACA";2
"230470 GRANJA";11
"230520 HIDROLANDIA";1
"230523 HORIZONTE";4
"230526 IBARETAMA";4
"230530 IBIAPINA";1
"230540 ICO";12
"230550 IGUATU";27
"230560 INDEPENDENCIA";4
"230565 IPAPORANGA";2
"230580 IPU";3
"230625 ITAITINGA";14
"230630 ITAPAGE";1
"230640 ITAPIPOCA";3
"230650 ITAPIUNA";3
"230655 ITAREMA";6
"230660 ITATIRA";1
"230680 JAGUARIBARA";2
"230690 JAGUARIBE";8
"230700 JAGUARUANA";4
"230710 JARDIM";5
"230725 JIJOCA DE JERICOACOARA";2
"230730 JUAZEIRO DO NORTE";30
"230750 LAVRAS DA MANGABEIRA";4
"230760 LIMOEIRO DO NORTE";52
"230765 MARACANAU";27
"230770 MARANGUAPE";9
"230780 MARCO";3
"230830 MILAGRES";2
"230835 MILHA";4
"230840 MISSAO VELHA";2
"230860 MONSENHOR TABOSA";1
"230870 MORADA NOVA";3
"230880 MORAUJO";2
"230890 MORRINHOS";1
"230930 NOVA RUSSAS";1
"230940 NOVO ORIENTE";5
"230945 OCARA";4
"230950 OROS";2
"230970 PACATUBA";13
"231010 PALMACIA";2
"231030 PARAMBU";1
"231060 PENAFORTE";1
"231070 PENTECOSTE";6
"231080 PEREIRO";1
"231085 PINDORETAMA";3
"231090 PIQUET CARNEIRO";1
"231110 PORTEIRAS";2
"231126 QUITERIANOPOLIS";2
"231130 QUIXADA";1
"231140 QUIXERAMOBIM";15
"231150 QUIXERE";2
"231170 RERIUTABA";1
"231180 RUSSAS";7
"231200 SANTANA DO ACARAU";4
"231230 SAO BENEDITO";4
"231240 SAO GONCALO DO AMARANTE";16
"231270 SENADOR POMPEU";3
"231290 SOBRAL";24
"231300 SOLONOPOLE";6
"231310 TABULEIRO DO NORTE";4
"231320 TAMBORIL";2
"231330 TAUA";16
"231335 TEJUCUOCA";2
"231360 UBAJARA";7
"231410 VICOSA DO CEARA";7
"240030 AFONSO BEZERRA";1
"240080 ANGICOS";3
"240090 ANTONIO MARTINS";1
"240110 AREIA BRANCA";1
"240120 ARES";2
"240130 AUGUSTO SEVERO";8
"240140 BAIA FORMOSA";3
"240145 BARAUNA";1
"240150 BARCELONA";4
"240170 BOM JESUS";1
"240185 CAICARA DO NORTE";8
"240200 CAICO";14
"240240 CARNAUBA DOS DANTAS";4
"240300 CRUZETA";2
"240325 PARNAMIRIM";17
"240330 ENCANTO";2
"240410 GALINHOS";7
"240420 GOIANINHA";7
"240440 GROSSOS";1
"240450 GUAMARE";3
"240460 IELMO MARINHO";4
"240540 JAPI";4
"240570 JARDIM DO SERIDO";1
"240580 JOAO CAMARA";9
"240600 JOSE DA PENHA";1
"240610 JUCURUTU";2
"240650 LAGOA NOVA";4
"240670 LAJES";4
"240680 LAJES PINTADAS";1
"240690 LUCRECIA";2
"240700 LUIS GOMES";2
"240800 MOSSORO";16
"240810 NATAL";250
"240910 PASSA E FICA";1
"240930 PATU";2
"240940 PAU DOS FERROS";3
"240990 PENDENCIAS";4
"241000 PILOES";7
"241020 PORTALEGRE";4
"241030 SERRA CAIADA";2
"241050 RAFAEL FERNANDES";1
"241060 RAFAEL GODEIRO";1
"241070 RIACHO DA CRUZ";1
"241090 RIACHUELO";8
"241100 RODOLFO FERNANDES";1
"241110 RUY BARBOSA";3
"241120 SANTA CRUZ";7
"241200 SAO GONCALO DO AMARANTE";8
"241220 SAO JOSE DE MIPIBU";1
"241230 SAO JOSE DO CAMPESTRE";2
"241240 SAO JOSE DO SERIDO";4
"241250 SAO MIGUEL";10
"241260 SAO PAULO DO POTENGI";6
"241280 SAO RAFAEL";2
"241290 SAO TOME";2
"241335 SERRA DO MEL";1
"241340 SERRA NEGRA DO NORTE";1
"241360 SEVERIANO MELO";5
"241380 TABOLEIRO GRANDE";1
"241415 TENENTE LAURENTINO CRUZ";2
"241430 TIMBAUBA DOS BATISTAS";2
"241440 TOUROS";4
"241445 TRIUNFO POTIGUAR";4
"241460 UPANEMA";1
"241475 VENHA-VER";2
"241480 VERA CRUZ";2
"241500 VILA FLOR";2
"250010 AGUA BRANCA";4
"250030 ALAGOA GRANDE";3
"250040 ALAGOA NOVA";6
"250077 APARECIDA";1
"250157 BARRA DE SANTANA";3
"250180 BAYEUX";6
"250215 BOA VISTA";1
"250300 CAAPORA";4
"250320 CABEDELO";1
"250350 CACIMBA DE DENTRO";4
"250370 CAJAZEIRAS";20
"250380 CALDAS BRANDAO";3
"250400 CAMPINA GRANDE";87
"250600 ESPERANCA";1
"250620 FREI MARTINHO";2
"250630 GUARABIRA";8
"250650 GURJAO";1
"250660 IBIARA";2
"250720 ITATUBA";4
"250750 JOAO PESSOA";124
"250770 JUAZEIRINHO";3
"250800 JURU";2
"250840 LASTRO";1
"250970 MONTEIRO";2
"251040 OLHO D'AGUA";3
"251080 PATOS";52
"251110 PEDRA LAVRADA";1
"251120 PEDRAS DE FOGO";5
"251210 POMBAL";1
"251230 PRINCESA ISABEL";18
"251250 QUEIMADAS";10
"251272 PEDRO REGIS";1
"251290 RIO TINTO";2
"251315 SANTA CECILIA";1
"251340 SANTA LUZIA";1
"251370 SANTA RITA";15
"251390 SAO BENTO";3
"251530 SAPE";7
"251540 SAO VICENTE DO SERIDO";1
"251600 SOLANEA";2
"251620 SOUSA";16
"251630 SUME";2
"251660 TAVARES";2
"251690 UIRAUNA";3
"260005 ABREU E LIMA";3
"260010 AFOGADOS DA INGAZEIRA";16
"260020 AFRANIO";3
"260030 AGRESTINA";5
"260040 AGUA PRETA";3
"260060 ALAGOINHA";7
"260080 ALTINHO";6
"260100 ANGELIM";15
"260105 ARACOIABA";3
"260110 ARARIPINA";6
"260120 ARCOVERDE";1
"260130 BARRA DE GUABIRABA";1
"260140 BARREIROS";12
"260160 BELEM DE SAO FRANCISCO";1
"260190 BEZERROS";12
"260210 BOM CONSELHO";6
"260230 BONITO";6
"260260 BREJO DA MADRE DE DEUS";2
"260270 BUENOS AIRES";1
"260280 BUIQUE";7
"260290 CABO DE SANTO AGOSTINHO";24
"260310 CACHOEIRINHA";2
"260320 CAETES";3
"260330 CALCADO";3
"260345 CAMARAGIBE";25
"260350 CAMOCIM DE SAO FELIX";2
"260370 CANHOTINHO";3
"260380 CAPOEIRAS";1
"260400 CARPINA";7
"260410 CARUARU";153
"260430 CEDRO";3
"260450 CHA GRANDE";5
"260460 CONDADO";1
"260470 CORRENTES";4
"260500 CUPIRA";7
"260510 CUSTODIA";7
"260520 ESCADA";2
"260530 EXU";2
"260540 FEIRA NOVA";1
"260545 FERNANDO DE NORONHA";14
"260560 FLORES";1
"260570 FLORESTA";3
"260580 FREI MIGUELINHO";4
"260600 GARANHUNS";5
"260610 GLORIA DO GOITA";2
"260620 GOIANA";9
"260630 GRANITO";2
"260650 IATI";7
"260660 IBIMIRIM";2
"260670 IBIRAJUBA";5
"260680 IGARASSU";14
"260720 IPOJUCA";18
"260730 IPUBI";4
"260760 ILHA DE ITAMARACA";3
"260765 ITAMBE";3
"260775 ITAPISSUMA";5
"260780 ITAQUITINGA";5
"260790 JABOATAO DOS GUARARAPES";47
"260795 JAQUEIRA";8
"260800 JATAUBA";5
"260805 JATOBA";1
"260810 JOAO ALFREDO";3
"260825 JUCATI";1
"260830 JUPI";1
"260860 LAGOA DO OURO";1
"260870 LAGOA DOS GATOS";1
"260890 LIMOEIRO";8
"260900 MACAPARANA";1
"260910 MACHADOS";4
"260915 MANARI";3
"260940 MORENO";3
"260950 NAZARE DA MATA";5
"260960 OLINDA";22
"260990 OURICURI";2
"261000 PALMARES";4
"261020 PANELAS";4
"261070 PAULISTA";6
"261090 PESQUEIRA";7
"261100 PETROLANDIA";2
"261110 PETROLINA";68
"261120 POCAO";2
"261130 POMBOS";5
"261150 QUIPAPA";1
"261160 RECIFE";534
"261170 RIACHO DAS ALMAS";3
"261190 RIO FORMOSO";4
"261200 SAIRE";3
"261220 SALGUEIRO";8
"261230 SALOA";4
"261240 SANHARO";3
"261245 SANTA CRUZ";1
"261250 SANTA CRUZ DO CAPIBARIBE";12
"261280 SANTA TEREZINHA";1
"261310 SAO CAITANO";3
"261320 SAO JOAO";3
"261350 SAO JOSE DO BELMONTE";2
"261360 SAO JOSE DO EGITO";2
"261370 SAO LOURENCO DA MATA";15
"261380 SAO VICENTE FERRER";2
"261390 SERRA TALHADA";25
"261400 SERRITA";2
"261420 SIRINHAEM";1
"261430 MOREILANDIA";2
"261460 TABIRA";4
"261470 TACAIMBO";1
"261480 TACARATU";4
"261485 TAMANDARE";2
"261500 TAQUARITINGA DO NORTE";3
"261520 TERRA NOVA";1
"261540 TORITAMA";3
"261560 TRINDADE";2
"261580 TUPANATINGA";2
"261600 VENTUROSA";2
"261610 VERDEJANTE";1
"261620 VERTENTES";4
"261630 VICENCIA";2
"261640 VITORIA DE SANTO ANTAO";5
"270010 AGUA BRANCA";4
"270020 ANADIA";9
"270030 ARAPIRACA";36
"270040 ATALAIA";8
"270050 BARRA DE SANTO ANTONIO";4
"270070 BATALHA";2
"270080 BELEM";6
"270110 BRANQUINHA";1
"270130 CAJUEIRO";2
"270140 CAMPO ALEGRE";5
"270170 CAPELA";2
"270210 COLONIA LEOPOLDINA";4
"270220 COQUEIRO SECO";1
"270235 CRAIBAS";1
"270240 DELMIRO GOUVEIA";10
"270280 FLEXEIRAS";4
"270290 GIRAU DO PONCIANO";1
"270300 IBATEGUARA";4
"270320 IGREJA NOVA";6
"270360 JAPARATINGA";4
"270400 JUNQUEIRO";1
"270420 LIMOEIRO DE ANADIA";2
"270430 MACEIO";171
"270440 MAJOR ISIDORO";1
"270450 MARAGOGI";4
"270470 MARECHAL DEODORO";2
"270480 MARIBONDO";3
"270500 MATA GRANDE";3
"270550 MURICI";4
"270570 OLHO D'AGUA DAS FLORES";2
"270610 OURO BRANCO";2
"270630 PALMEIRA DOS INDIOS";8
"270644 PARIPUEIRA";4
"270660 PAULO JACINTO";2
"270670 PENEDO";11
"270690 PILAR";6
"270710 PIRANHAS";4
"270730 PORTO CALVO";1
"270750 PORTO REAL DO COLEGIO";4
"270760 QUEBRANGULO";3
"270830 SAO JOSE DA LAJE";2
"270840 SAO JOSE DA TAPERA";2
"270850 SAO LUIS DO QUITUNDE";1
"270860 SAO MIGUEL DOS CAMPOS";8
"270890 SATUBA";2
"270895 SENADOR RUI PALMEIRA";1
"270915 TEOTONIO VILELA";1
"270920 TRAIPU";6
"270930 UNIAO DOS PALMARES";1
"270940 VICOSA";4
"280030 ARACAJU";58
"280040 ARAUA";6
"280060 BARRA DOS COQUEIROS";5
"280067 BOQUIM";2
"280120 CANINDE DE SAO FRANCISCO";4
"280130 CAPELA";1
"280150 CARMOPOLIS";1
"280170 CRISTINAPOLIS";1
"280210 ESTANCIA";10
"280230 FREI PAULO";6
"280290 ITABAIANA";5
"280330 JAPARATUBA";8
"280340 JAPOATA";6
"280350 LAGARTO";4
"280360 LARANJEIRAS";1
"280400 MARUIM";4
"280450 NOSSA SENHORA DA GLORIA";1
"280480 NOSSA SENHORA DO SOCORRO";1
"280540 POCO REDONDO";4
"280560 PORTO DA FOLHA";4
"280570 PROPRIA";4
"280670 SAO CRISTOVAO";6
"280710 SIMAO DIAS";2
"290020 ABARE";2
"290040 AGUA FRIA";6
"290070 ALAGOINHAS";41
"290100 AMARGOSA";1
"290110 AMELIA RODRIGUES";8
"290115 AMERICA DOURADA";3
"290120 ANAGE";5
"290130 ANDARAI";1
"290135 ANDORINHA";2
"290150 ANGUERA";1
"290160 ANTAS";2
"290200 ARACATU";1
"290205 ARACAS";1
"290210 ARACI";2
"290250 BAIANOPOLIS";4
"290265 BANZAE";5
"290270 BARRA";9
"290320 BARREIRAS";13
"290350 BELO CAMPO";2
"290360 BIRITINGA";3
"290390 BOM JESUS DA LAPA";1
"290395 BOM JESUS DA SERRA";2
"290400 BONINAL";2
"290405 BONITO";15
"290420 BOTUPORA";5
"290430 BREJOES";2
"290460 BRUMADO";6
"290480 CAATIBA";2
"290485 CABACEIRAS DO PARAGUACU";2
"290490 CACHOEIRA";4
"290500 CACULE";3
"290515 CAETANOS";4
"290540 CAIRU";4
"290560 CAMACAN";2
"290570 CAMACARI";52
"290580 CAMAMU";6
"290590 CAMPO ALEGRE DE LOURDES";4
"290610 CANAPOLIS";5
"290620 CANARANA";3
"290650 CANDEIAS";17
"290680 CANSANCAO";3
"290682 CANUDOS";1
"290685 CAPELA DO ALTO ALEGRE";2
"290689 CARAIBAS";3
"290690 CARAVELAS";2
"290700 CARDEAL DA SILVA";4
"290710 CARINHANHA";2
"290720 CASA NOVA";5
"290750 CATU";18
"290770 CHORROCHO";2
"290780 CICERO DANTAS";4
"290790 CIPO";4
"290800 COARACI";7
"290810 COCOS";1
"290820 CONCEICAO DA FEIRA";1
"290830 CONCEICAO DO ALMEIDA";4
"290840 CONCEICAO DO COITE";5
"290850 CONCEICAO DO JACUIPE";3
"290860 CONDE";1
"290870 CONDEUBA";1
"290890 CORACAO DE MARIA";2
"290900 CORDEIROS";3
"290910 CORIBE";3
"290920 CORONEL JOAO SA";8
"290930 CORRENTINA";2
"290960 CRISOPOLIS";4
"290980 CRUZ DAS ALMAS";4
"291005 DIAS D'AVILA";15
"291010 DOM BASILIO";3
"291050 ENTRE RIOS";12
"291070 EUCLIDES DA CUNHA";6
"291072 EUNAPOLIS";20
"291075 FATIMA";6
"291080 FEIRA DE SANTANA";66
"291110 FORMOSA DO RIO PRETO";2
