CNES - Recursos Físicos - Ambulatório - Consultórios - Brasil
Clínica Básica por Município
Período:Jul/2024
"Município";"Clínica_Básica"
"150304 FLORESTA DO ARAGUAIA";12
"150307 GARRAFAO DO NORTE";19
"150309 GOIANESIA DO PARA";6
"150310 GURUPA";8
"150320 IGARAPE-ACU";31
"150330 IGARAPE-MIRI";31
"150340 INHANGAPI";7
"150345 IPIXUNA DO PARA";25
"150350 IRITUIA";18
"150360 ITAITUBA";77
"150370 ITUPIRANGA";14
"150375 JACAREACANGA";5
"150380 JACUNDA";33
"150390 JURUTI";15
"150400 LIMOEIRO DO AJURU";20
"150405 MAE DO RIO";10
"150410 MAGALHAES BARATA";11
"150420 MARABA";70
"150430 MARACANA";13
"150440 MARAPANIM";19
"150442 MARITUBA";50
"150445 MEDICILANDIA";7
"150450 MELGACO";10
"150460 MOCAJUBA";10
"150470 MOJU";26
"150475 MOJUI DOS CAMPOS";8
"150480 MONTE ALEGRE";23
"150490 MUANA";19
"150495 NOVA ESPERANCA DO PIRIA";10
"150497 NOVA IPIXUNA";11
"150500 NOVA TIMBOTEUA";7
"150503 NOVO PROGRESSO";14
"150506 NOVO REPARTIMENTO";32
"150510 OBIDOS";29
"150520 OEIRAS DO PARA";9
"150530 ORIXIMINA";49
"150540 OUREM";3
"150543 OURILANDIA DO NORTE";48
"150548 PACAJA";48
"150549 PALESTINA DO PARA";4
"150550 PARAGOMINAS";58
"150553 PARAUAPEBAS";201
"150555 PAU D'ARCO";11
"150560 PEIXE-BOI";2
"150563 PICARRA";9
"150565 PLACAS";9
"150570 PONTA DE PEDRAS";10
"150580 PORTEL";19
"150590 PORTO DE MOZ";11
"150610 PRIMAVERA";5
"150611 QUATIPURU";2
"150613 REDENCAO";72
"150616 RIO MARIA";11
"150618 RONDON DO PARA";16
"150619 RUROPOLIS";14
"150620 SALINOPOLIS";24
"150630 SALVATERRA";8
"150635 SANTA BARBARA DO PARA";19
"150640 SANTA CRUZ DO ARARI";4
"150650 SANTA IZABEL DO PARA";42
"150655 SANTA LUZIA DO PARA";16
"150658 SANTA MARIA DAS BARREIRAS";1
"150660 SANTA MARIA DO PARA";25
"150670 SANTANA DO ARAGUAIA";21
"150680 SANTAREM";210
"150690 SANTAREM NOVO";5
"150700 SANTO ANTONIO DO TAUA";14
"150710 SAO CAETANO DE ODIVELAS";18
"150715 SAO DOMINGOS DO ARAGUAIA";14
"150720 SAO DOMINGOS DO CAPIM";35
"150730 SAO FELIX DO XINGU";60
"150740 SAO FRANCISCO DO PARA";14
"150745 SAO GERALDO DO ARAGUAIA";17
"150746 SAO JOAO DA PONTA";8
"150747 SAO JOAO DE PIRABAS";16
"150750 SAO JOAO DO ARAGUAIA";12
"150760 SAO MIGUEL DO GUAMA";30
"150770 SAO SEBASTIAO DA BOA VISTA";10
"150775 SAPUCAIA";8
"150780 SENADOR JOSE PORFIRIO";12
"150790 SOURE";4
"150795 TAILANDIA";15
"150796 TERRA ALTA";8
"150797 TERRA SANTA";6
"150800 TOME-ACU";37
"150803 TRACUATEUA";19
"150805 TRAIRAO";9
"150808 TUCUMA";23
"150810 TUCURUI";93
"150812 ULIANOPOLIS";14
"150815 URUARA";19
"150820 VIGIA";24
"150830 VISEU";36
"150835 VITORIA DO XINGU";26
"150840 XINGUARA";35
"160005 SERRA DO NAVIO";1
"160010 AMAPA";23
"160015 PEDRA BRANCA DO AMAPARI";14
"160020 CALCOENE";7
"160021 CUTIAS";8
"160023 FERREIRA GOMES";10
"160025 ITAUBAL";12
"160027 LARANJAL DO JARI";41
"160030 MACAPA";422
"160040 MAZAGAO";15
"160050 OIAPOQUE";14
"160053 PORTO GRANDE";17
"160055 PRACUUBA";5
"160060 SANTANA";63
"160070 TARTARUGALZINHO";7
"160080 VITORIA DO JARI";10
"170025 ABREULANDIA";1
"170035 ALIANCA DO TOCANTINS";3
"170040 ALMAS";2
"170070 ALVORADA";9
"170100 ANANAS";5
"170105 ANGICO";2
"170110 APARECIDA DO RIO NEGRO";3
"170190 ARAGUACEMA";4
"170200 ARAGUACU";5
"170210 ARAGUAINA";118
"170215 ARAGUANA";6
"170220 ARAGUATINS";25
"170230 ARAPOEMA";4
"170240 ARRAIAS";7
"170255 AUGUSTINOPOLIS";15
"170270 AURORA DO TOCANTINS";1
"170290 AXIXA DO TOCANTINS";6
"170300 BABACULANDIA";9
"170305 BANDEIRANTES DO TOCANTINS";3
"170307 BARRA DO OURO";2
"170310 BARROLANDIA";4
"170320 BERNARDO SAYAO";2
"170330 BOM JESUS DO TOCANTINS";1
"170370 BREJINHO DE NAZARE";2
"170380 BURITI DO TOCANTINS";10
"170382 CACHOEIRINHA";1
"170384 CAMPOS LINDOS";3
"170386 CARIRI DO TOCANTINS";3
"170388 CARMOLANDIA";1
"170389 CARRASCO BONITO";4
"170390 CASEARA";4
"170410 CENTENARIO";2
"170460 CHAPADA DE AREIA";1
"170510 CHAPADA DA NATIVIDADE";1
"170550 COLINAS DO TOCANTINS";26
"170560 CONCEICAO DO TOCANTINS";2
"170600 COUTO MAGALHAES";3
"170610 CRISTALANDIA";6
"170625 CRIXAS DO TOCANTINS";2
"170650 DARCINOPOLIS";2
"170700 DIANOPOLIS";17
"170710 DIVINOPOLIS DO TOCANTINS";2
"170720 DOIS IRMAOS DO TOCANTINS";5
"170730 DUERE";3
"170740 ESPERANTINA";3
"170755 FATIMA";3
"170765 FIGUEIROPOLIS";4
"170770 FILADELFIA";5
"170820 FORMOSO DO ARAGUAIA";13
"170825 FORTALEZA DO TABOCAO";2
"170830 GOIANORTE";3
"170900 GOIATINS";13
"170930 GUARAI";19
"170950 GURUPI";81
"170980 IPUEIRAS";1
"171050 ITACAJA";10
"171070 ITAGUATINS";4
"171090 ITAPIRATINS";2
"171110 ITAPORA DO TOCANTINS";1
"171150 JAU DO TOCANTINS";4
"171180 JUARINA";1
"171190 LAGOA DA CONFUSAO";5
"171195 LAGOA DO TOCANTINS";2
"171200 LAJEADO";5
"171215 LAVANDEIRA";2
"171240 LIZARDA";1
"171245 LUZINOPOLIS";5
"171250 MARIANOPOLIS DO TOCANTINS";4
"171270 MATEIROS";1
"171280 MAURILANDIA DO TOCANTINS";3
"171320 MIRACEMA DO TOCANTINS";34
"171330 MIRANORTE";14
"171360 MONTE DO CARMO";7
"171370 MONTE SANTO DO TOCANTINS";2
"171380 PALMEIRAS DO TOCANTINS";2
"171395 MURICILANDIA";4
"171420 NATIVIDADE";4
"171430 NAZARE";4
"171488 NOVA OLINDA";3
"171500 NOVA ROSALANDIA";1
"171510 NOVO ACORDO";3
"171515 NOVO ALEGRE";1
"171525 NOVO JARDIM";1
"171570 PALMEIRANTE";1
"171575 PALMEIROPOLIS";6
"171610 PARAISO DO TOCANTINS";47
"171620 PARANA";4
"171630 PAU D'ARCO";1
"171650 PEDRO AFONSO";10
"171660 PEIXE";4
"171665 PEQUIZEIRO";3
"171670 COLMEIA";5
"171700 PINDORAMA DO TOCANTINS";3
"171720 PIRAQUE";2
"171750 PIUM";3
"171780 PONTE ALTA DO BOM JESUS";2
"171790 PONTE ALTA DO TOCANTINS";9
"171800 PORTO ALEGRE DO TOCANTINS";3
"171820 PORTO NACIONAL";91
"171830 PRAIA NORTE";10
"171840 PRESIDENTE KENNEDY";2
"171845 PUGMIL";1
"171850 RECURSOLANDIA";3
"171855 RIACHINHO";3
"171870 RIO DOS BOIS";1
"171875 RIO SONO";6
"171880 SAMPAIO";2
"171884 SANDOLANDIA";1
"171886 SANTA FE DO ARAGUAIA";7
"171888 SANTA MARIA DO TOCANTINS";1
"171890 SANTA ROSA DO TOCANTINS";4
"171900 SANTA TEREZA DO TOCANTINS";1
"172000 SANTA TEREZINHA DO TOCANTINS";1
"172010 SAO BENTO DO TOCANTINS";2
"172020 SAO MIGUEL DO TOCANTINS";3
"172030 SAO SEBASTIAO DO TOCANTINS";2
"172049 SAO VALERIO";3
"172065 SILVANOPOLIS";6
"172080 SITIO NOVO DO TOCANTINS";14
"172090 TAGUATINGA";6
"172097 TALISMA";1
"172100 PALMAS";362
"172110 TOCANTINIA";7
"172120 TOCANTINOPOLIS";11
"172130 TUPIRATINS";1
"172208 WANDERLANDIA";4
"172210 XAMBIOA";8
"210005 ACAILANDIA";123
"210010 AFONSO CUNHA";4
"210015 AGUA DOCE DO MARANHAO";6
"210020 ALCANTARA";23
"210030 ALDEIAS ALTAS";18
"210040 ALTAMIRA DO MARANHAO";4
"210043 ALTO ALEGRE DO MARANHAO";14
"210047 ALTO ALEGRE DO PINDARE";7
"210050 ALTO PARNAIBA";15
"210055 AMAPA DO MARANHAO";3
"210060 AMARANTE DO MARANHAO";31
"210070 ANAJATUBA";20
"210080 ANAPURUS";11
"210083 APICUM-ACU";9
"210087 ARAGUANA";8
"210090 ARAIOSES";8
"210095 ARAME";21
"210100 ARARI";21
"210110 AXIXA";14
"210120 BACABAL";79
"210125 BACABEIRA";14
"210130 BACURI";1
"210135 BACURITUBA";7
"210140 BALSAS";116
"210150 BARAO DE GRAJAU";7
"210160 BARRA DO CORDA";75
"210170 BARREIRINHAS";26
"210173 BELAGUA";4
"210177 BELA VISTA DO MARANHAO";18
"210180 BENEDITO LEITE";5
"210190 BEQUIMAO";6
"210193 BERNARDO DO MEARIM";4
"210197 BOA VISTA DO GURUPI";6
"210200 BOM JARDIM";30
"210203 BOM JESUS DAS SELVAS";14
"210207 BOM LUGAR";2
"210210 BREJO";17
"210215 BREJO DE AREIA";7
"210220 BURITI";21
"210230 BURITI BRAVO";10
"210232 BURITICUPU";38
"210235 BURITIRANA";2
"210237 CACHOEIRA GRANDE";6
"210240 CAJAPIO";3
"210250 CAJARI";6
"210255 CAMPESTRE DO MARANHAO";11
"210260 CANDIDO MENDES";15
"210270 CANTANHEDE";7
"210275 CAPINZAL DO NORTE";8
"210280 CAROLINA";15
"210290 CARUTAPERA";13
"210300 CAXIAS";77
"210310 CEDRAL";8
"210312 CENTRAL DO MARANHAO";9
"210315 CENTRO DO GUILHERME";9
"210317 CENTRO NOVO DO MARANHAO";10
"210320 CHAPADINHA";56
"210325 CIDELANDIA";16
"210330 CODO";47
"210340 COELHO NETO";25
"210350 COLINAS";35
"210355 CONCEICAO DO LAGO-ACU";3
"210360 COROATA";35
"210370 CURURUPU";41
"210375 DAVINOPOLIS";6
"210380 DOM PEDRO";11
"210390 DUQUE BACELAR";9
"210400 ESPERANTINOPOLIS";28
"210405 ESTREITO";15
"210407 FEIRA NOVA DO MARANHAO";6
"210408 FERNANDO FALCAO";6
"210409 FORMOSA DA SERRA NEGRA";3
"210410 FORTALEZA DOS NOGUEIRAS";3
"210420 FORTUNA";16
"210430 GODOFREDO VIANA";6
"210440 GONCALVES DIAS";9
"210450 GOVERNADOR ARCHER";6
"210455 GOVERNADOR EDISON LOBAO";11
"210460 GOVERNADOR EUGENIO BARROS";13
"210462 GOVERNADOR LUIZ ROCHA";5
"210465 GOVERNADOR NEWTON BELLO";6
"210467 GOVERNADOR NUNES FREIRE";27
"210470 GRACA ARANHA";8
"210480 GRAJAU";102
"210490 GUIMARAES";13
"210500 HUMBERTO DE CAMPOS";26
"210510 ICATU";21
"210515 IGARAPE DO MEIO";13
"210520 IGARAPE GRANDE";3
"210530 IMPERATRIZ";163
"210535 ITAIPAVA DO GRAJAU";17
"210540 ITAPECURU MIRIM";50
"210542 ITINGA DO MARANHAO";19
"210545 JATOBA";9
"210547 JENIPAPO DOS VIEIRAS";13
"210550 JOAO LISBOA";23
"210560 JOSELANDIA";20
"210565 JUNCO DO MARANHAO";4
"210570 LAGO DA PEDRA";13
"210580 LAGO DO JUNCO";5
"210590 LAGO VERDE";2
"210592 LAGOA DO MATO";11
"210594 LAGO DOS RODRIGUES";13
"210596 LAGOA GRANDE DO MARANHAO";4
"210598 LAJEADO NOVO";5
"210600 LIMA CAMPOS";2
"210610 LORETO";11
"210620 LUIS DOMINGUES";5
"210630 MAGALHAES DE ALMEIDA";7
"210632 MARACACUME";19
"210635 MARAJA DO SENA";7
"210637 MARANHAOZINHO";8
"210640 MATA ROMA";31
"210650 MATINHA";11
"210660 MATOES";12
"210663 MATOES DO NORTE";7
"210667 MILAGRES DO MARANHAO";8
"210670 MIRADOR";24
"210675 MIRANDA DO NORTE";12
"210680 MIRINZAL";5
"210690 MONCAO";22
"210700 MONTES ALTOS";8
"210710 MORROS";13
"210720 NINA RODRIGUES";8
"210725 NOVA COLINAS";5
"210730 NOVA IORQUE";7
"210735 NOVA OLINDA DO MARANHAO";22
"210740 OLHO D'AGUA DAS CUNHAS";10
"210745 OLINDA NOVA DO MARANHAO";11
"210750 PACO DO LUMIAR";36
"210760 PALMEIRANDIA";24
"210770 PARAIBANO";15
"210780 PARNARAMA";21
"210790 PASSAGEM FRANCA";12
"210800 PASTOS BONS";21
"210805 PAULINO NEVES";11
"210810 PAULO RAMOS";6
"210820 PEDREIRAS";39
"210825 PEDRO DO ROSARIO";13
"210830 PENALVA";23
"210840 PERI MIRIM";6
"210845 PERITORO";14
"210850 PINDARE-MIRIM";23
"210860 PINHEIRO";63
"210870 PIO XII";10
"210880 PIRAPEMAS";11
"210890 POCAO DE PEDRAS";8
"210900 PORTO FRANCO";10
"210905 PORTO RICO DO MARANHAO";3
"210910 PRESIDENTE DUTRA";37
"210920 PRESIDENTE JUSCELINO";4
"210923 PRESIDENTE MEDICI";8
"210927 PRESIDENTE SARNEY";4
"210930 PRESIDENTE VARGAS";4
"210940 PRIMEIRA CRUZ";11
"210945 RAPOSA";21
"210950 RIACHAO";14
"210955 RIBAMAR FIQUENE";5
"210960 ROSARIO";16
"210970 SAMBAIBA";3
"210975 SANTA FILOMENA DO MARANHAO";4
"210980 SANTA HELENA";11
"210990 SANTA INES";67
"211000 SANTA LUZIA";67
"211003 SANTA LUZIA DO PARUA";13
"211010 SANTA QUITERIA DO MARANHAO";13
"211020 SANTA RITA";29
"211023 SANTANA DO MARANHAO";6
"211027 SANTO AMARO DO MARANHAO";19
"211030 SANTO ANTONIO DOS LOPES";7
"211040 SAO BENEDITO DO RIO PRETO";7
"211050 SAO BENTO";26
"211060 SAO BERNARDO";20
"211065 SAO DOMINGOS DO AZEITAO";6
"211070 SAO DOMINGOS DO MARANHAO";32
"211080 SAO FELIX DE BALSAS";3
"211085 SAO FRANCISCO DO BREJAO";5
"211090 SAO FRANCISCO DO MARANHAO";15
"211100 SAO JOAO BATISTA";10
"211102 SAO JOAO DO CARU";6
"211105 SAO JOAO DO PARAISO";4
"211107 SAO JOAO DO SOTER";18
"211110 SAO JOAO DOS PATOS";15
"211120 SAO JOSE DE RIBAMAR";44
"211125 SAO JOSE DOS BASILIOS";7
"211130 SAO LUIS";879
"211140 SAO LUIS GONZAGA DO MARANHAO";11
"211150 SAO MATEUS DO MARANHAO";29
"211153 SAO PEDRO DA AGUA BRANCA";9
"211157 SAO PEDRO DOS CRENTES";5
"211160 SAO RAIMUNDO DAS MANGABEIRAS";14
"211163 SAO RAIMUNDO DO DOCA BEZERRA";3
"211167 SAO ROBERTO";6
"211170 SAO VICENTE FERRER";16
"211172 SATUBINHA";8
"211174 SENADOR ALEXANDRE COSTA";8
"211176 SENADOR LA ROCQUE";13
"211178 SERRANO DO MARANHAO";4
"211180 SITIO NOVO";15
"211190 SUCUPIRA DO NORTE";6
"211195 SUCUPIRA DO RIACHAO";2
"211200 TASSO FRAGOSO";8
"211210 TIMBIRAS";16
"211220 TIMON";99
"211223 TRIZIDELA DO VALE";11
"211227 TUFILANDIA";13
"211230 TUNTUM";28
"211240 TURIACU";1
"211245 TURILANDIA";14
"211250 TUTOIA";27
"211260 URBANO SANTOS";18
"211270 VARGEM GRANDE";13
"211280 VIANA";38
"211285 VILA NOVA DOS MARTIRIOS";9
"211290 VITORIA DO MEARIM";23
"211300 VITORINO FREIRE";6
"211400 ZE DOCA";26
"220005 ACAUA";6
"220010 AGRICOLANDIA";5
"220020 AGUA BRANCA";15
"220025 ALAGOINHA DO PIAUI";6
"220027 ALEGRETE DO PIAUI";4
"220030 ALTO LONGA";3
"220040 ALTOS";24
"220045 ALVORADA DO GURGUEIA";4
"220050 AMARANTE";32
"220060 ANGICAL DO PIAUI";11
"220070 ANISIO DE ABREU";2
"220080 ANTONIO ALMEIDA";3
"220090 AROAZES";7
"220100 ARRAIAL";3
"220105 ASSUNCAO DO PIAUI";8
"220110 AVELINO LOPES";8
"220115 BAIXA GRANDE DO RIBEIRO";10
"220120 BARRAS";37
"220130 BARREIRAS DO PIAUI";3
"220140 BARRO DURO";4
"220150 BATALHA";1
"220155 BELA VISTA DO PIAUI";3
"220157 BELEM DO PIAUI";5
"220160 BENEDITINOS";13
"220170 BERTOLINIA";6
"220173 BETANIA DO PIAUI";3
"220177 BOA HORA";4
"220180 BOCAINA";12
"220190 BOM JESUS";7
"220191 BOM PRINCIPIO DO PIAUI";3
"220192 BONFIM DO PIAUI";5
"220194 BOQUEIRAO DO PIAUI";2
"220196 BRASILEIRA";5
"220198 BREJO DO PIAUI";1
"220200 BURITI DOS LOPES";33
"220202 BURITI DOS MONTES";4
"220205 CABECEIRAS DO PIAUI";8
"220207 CAJAZEIRAS DO PIAUI";8
"220208 CAJUEIRO DA PRAIA";4
"220209 CALDEIRAO GRANDE DO PIAUI";3
"220210 CAMPINAS DO PIAUI";5
"220211 CAMPO ALEGRE DO FIDALGO";3
"220213 CAMPO GRANDE DO PIAUI";5
"220217 CAMPO LARGO DO PIAUI";6
"220220 CAMPO MAIOR";65
"220225 CANAVIEIRA";3
"220230 CANTO DO BURITI";10
"220240 CAPITAO DE CAMPOS";10
"220245 CAPITAO GERVASIO OLIVEIRA";3
"220250 CARACOL";7
"220253 CARAUBAS DO PIAUI";5
"220255 CARIDADE DO PIAUI";4
"220260 CASTELO DO PIAUI";23
"220265 CAXINGO";4
"220270 COCAL";18
"220271 COCAL DE TELHA";3
"220272 COCAL DOS ALVES";1
"220275 COLONIA DO GURGUEIA";2
"220277 COLONIA DO PIAUI";6
"220280 CONCEICAO DO CANINDE";4
"220285 CORONEL JOSE DIAS";3
"220290 CORRENTE";37
"220300 CRISTALANDIA DO PIAUI";1
"220310 CRISTINO CASTRO";11
"220320 CURIMATA";10
"220323 CURRAIS";4
"220325 CURRALINHOS";3
"220327 CURRAL NOVO DO PIAUI";7
"220330 DEMERVAL LOBAO";10
"220335 DIRCEU ARCOVERDE";9
"220340 DOM EXPEDITO LOPES";2
"220342 DOMINGOS MOURAO";3
"220345 DOM INOCENCIO";9
"220360 ELISEU MARTINS";6
"220370 ESPERANTINA";22
"220380 FLORES DO PIAUI";3
"220385 FLORESTA DO PIAUI";2
"220390 FLORIANO";42
"220400 FRANCINOPOLIS";4
"220410 FRANCISCO AYRES";4
"220415 FRANCISCO MACEDO";3
"220420 FRANCISCO SANTOS";4
"220430 FRONTEIRAS";10
"220435 GEMINIANO";3
"220440 GILBUES";11
"220450 GUADALUPE";4
"220455 GUARIBAS";1
"220460 HUGO NAPOLEAO";3
"220465 ILHA GRANDE";4
"220470 INHUMA";14
"220480 IPIRANGA DO PIAUI";10
"220490 ISAIAS COELHO";8
"220500 ITAINOPOLIS";9
"220510 ITAUEIRA";12
"220515 JACOBINA DO PIAUI";3
"220520 JAICOS";20
"220525 JARDIM DO MULATO";5
"220527 JATOBA DO PIAUI";4
"220530 JERUMENHA";2
"220535 JOAO COSTA";4
"220540 JOAQUIM PIRES";8
"220545 JOCA MARQUES";7
"220550 JOSE DE FREITAS";32
"220551 JUAZEIRO DO PIAUI";3
"220552 JULIO BORGES";3
"220553 JUREMA";7
"220554 LAGOINHA DO PIAUI";4
"220555 LAGOA ALEGRE";4
"220556 LAGOA DO BARRO DO PIAUI";6
"220557 LAGOA DE SAO FRANCISCO";3
"220558 LAGOA DO PIAUI";2
"220559 LAGOA DO SITIO";11
"220560 LANDRI SALES";6
"220570 LUIS CORREIA";27
"220580 LUZILANDIA";17
"220585 MADEIRO";6
"220590 MANOEL EMIDIO";4
"220595 MARCOLANDIA";4
"220600 MARCOS PARENTE";3
"220605 MASSAPE DO PIAUI";7
"220610 MATIAS OLIMPIO";5
"220620 MIGUEL ALVES";27
"220630 MIGUEL LEAO";2
"220635 MILTON BRANDAO";3
"220640 MONSENHOR GIL";7
"220650 MONSENHOR HIPOLITO";8
"220660 MONTE ALEGRE DO PIAUI";5
"220665 MORRO CABECA NO TEMPO";5
"220667 MORRO DO CHAPEU DO PIAUI";7
"220669 MURICI DOS PORTELAS";7
"220670 NAZARE DO PIAUI";10
"220672 NAZARIA";3
"220675 NOSSA SENHORA DE NAZARE";2
"220680 NOSSA SENHORA DOS REMEDIOS";9
"220690 NOVO ORIENTE DO PIAUI";8
"220695 NOVO SANTO ANTONIO";2
"220700 OEIRAS";42
"220710 OLHO D'AGUA DO PIAUI";3
"220720 PADRE MARCOS";7
"220730 PAES LANDIM";1
"220735 PAJEU DO PIAUI";5
"220740 PALMEIRA DO PIAUI";6
"220750 PALMEIRAIS";9
"220755 PAQUETA";1
"220760 PARNAGUA";7
"220770 PARNAIBA";116
"220777 PATOS DO PIAUI";2
"220779 PAU D'ARCO DO PIAUI";6
"220780 PAULISTANA";23
"220785 PAVUSSU";2
"220790 PEDRO II";28
"220793 PEDRO LAURENTINO";2
"220795 NOVA SANTA RITA";3
"220800 PICOS";125
"220810 PIMENTEIRAS";12
"220820 PIO IX";10
"220830 PIRACURUCA";21
"220840 PIRIPIRI";71
